user,item,rating,sentiment,help_user,value,help_sentiment,helped_sim
0,10,3,isnt:+1 isnt:-1 scenes:-1 </endperson10>,5;;;;284;;;;297</endperson10>,4;;;;4;;;;4</endperson10>, ;;;;movie:+1 scenes:-1 ;;;; </endperson10>,0.3160243717712128;;;;0.5159656206857256;;;;0.48730095264325124 </endperson10>
0,11,5,films:+1 character:-1 isnt:-1 </endperson11>,</endperson11>,</endperson11>,</endperson11>, </endperson11>
0,12,4,isnt:+1 scenery:+1 </endperson12>,5</endperson12>,4</endperson12>, </endperson12>,0.3160243717712128 </endperson12>
0,13,4,character:+1 scenes:+1 moments:-1 isnt:-1 </endperson13>,134;;;;144;;;;190;;;;280</endperson13>,4;;;;4;;;;4;;;;4</endperson13>, ;;;;films:+1 actionsequences:+1 films:-1 credits:-1 ;;;;isnt:+1 snothing:+1 credits:-1 ;;;;movie:+1 </endperson13>,0.46892404634350915;;;;0.2276119843604818;;;;0.33711712220639845;;;;0.2586614485668628 </endperson13>
0,14,4,character:-1 isnt:-1 </endperson14>,67;;;;112;;;;132;;;;306;;;;308;;;;398;;;;467</endperson14>,4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4</endperson14>,stunt:+1 films:-1 ;;;;movie:-1 ;;;;budget:+1 ;;;;chemistry:+1 character:+1 performance:+1 humour:+1 actionscenes:+1 script:+1 films:-1 plot:-1 ;;;;movie:+1 movie:-1 ;;;;movie:+1 ;;;;character:-1 fightsequences:-1 </endperson14>,0.08988133402684284;;;;0.4791599920209868;;;;0.33705751909953685;;;;0.30436982417203295;;;;0.4598629145154446;;;;0.6975435231595946;;;;0.26454541727957304 </endperson14>
0,15,3,scenes:+1 </endperson15>,7;;;;90;;;;101;;;;103;;;;123;;;;129;;;;134;;;;147;;;;190;;;;318;;;;433</endperson15>,4;;;;3;;;;4;;;;4;;;;4;;;;4;;;;3;;;;4;;;;4;;;;4;;;;4</endperson15>,ending:+1 ;;;;ending:+1 scenes:-1 ;;;;acting:+1 ;;;;isnt:-1 ;;;;chemistry:+1 movie:+1 genre:+1 character:-1 ;;;;isnt:+1 movie:-1 ;;;;moments:+1 ;;;;genre:+1 moments:-1 isnt:-1 ;;;; ;;;;movie:+1 isnt:+1 movie:-1 ;;;;chemistry:+1 cast:+1 films:+1 character:+1 </endperson15>,0.3647114470038695;;;;0.3685812043800285;;;;0.31543551432765327;;;;0.5730363276244884;;;;0.44081553580798083;;;;0.2719141389194589;;;;0.46892404634350915;;;;0.3117379131182503;;;;0.33711712220639845;;;;0.22880696635495412;;;;0.20725420171321707 </endperson15>
0,16,3,isnt:+1 boyfriend:+1 scenes:+1 films:-1 character:-1 isnt:-1 </endperson16>,80;;;;147;;;;459;;;;758</endperson16>,4;;;;4;;;;4;;;;4</endperson16>,films:+1 acting:+1 ;;;;movie:+1 ;;;;character:+1 ;;;;scenes:+1 movie:-1 </endperson16>,0.41189314678839206;;;;0.3117379131182503;;;;0.44240752472998546;;;;0.24492553843849274 </endperson16>
0,17,4,performance:+1 character:-1 </endperson17>,7;;;;67;;;;69;;;;459;;;;465</endperson17>,4;;;;4;;;;4;;;;4;;;;4</endperson17>,performance:+1 scenes:+1 ;;;;movie:+1 tfeel:+1 films:-1 ;;;;character:+1 movie:+1 ;;;; ;;;;score:+1 </endperson17>,0.3647114470038695;;;;0.08988133402684284;;;;0.2965165723877533;;;;0.44240752472998546;;;;0.26361251489064463 </endperson17>
0,18,4,halfhour:+1 scenes:+1 performances:+1 </endperson18>,7;;;;110</endperson18>,4;;;;4</endperson18>,bonus:-1 ;;;;movie:+1 </endperson18>,0.3647114470038695;;;;0.42322848799867474 </endperson18>
0,19,4,films:+1 scenes:-1 </endperson19>,67;;;;187;;;;446</endperson19>,4;;;;4;;;;4</endperson19>,baron:+1 craft:+1 lovestory:+1 screenpresence:+1 films:-1 ;;;;actress:+1 vampire:+1 scene:+1 character:-1 pace:-1 ;;;; </endperson19>,0.08988133402684284;;;;0.40457370903179346;;;;0.475554300223334 </endperson19>
0,20,2,character:+1 scenes:+1 films:-1 character:-1 </endperson20>,123</endperson20>,4</endperson20>,character:+1 performance:+1 movie:+1 </endperson20>,0.44081553580798083 </endperson20>
0,21,4,tfeel:+1 humour:+1 scenes:+1 moments:-1 </endperson21>,7;;;;60;;;;103;;;;134;;;;306;;;;428;;;;459;;;;465</endperson21>,4;;;;4;;;;4;;;;3;;;;4;;;;4;;;;4;;;;4</endperson21>,sexreferences:-1 ;;;; ;;;;actress:+1 viewers:+1 movie:+1 isnt:+1 movie:-1 isnt:-1 ;;;; ;;;;films:+1 isnt:+1 ;;;;isnt:-1 ;;;;acting:+1 disc:-1 ;;;;character:+1 comedy:+1 performances:+1 isnt:-1 tfeel:-1 </endperson21>,0.3647114470038695;;;;0.3046179536834883;;;;0.5730363276244884;;;;0.46892404634350915;;;;0.30436982417203295;;;;0.30155424972036493;;;;0.44240752472998546;;;;0.26361251489064463 </endperson21>
0,22,3,character:+1 </endperson22>,301;;;;399;;;;502;;;;535</endperson22>,3;;;;4;;;;4;;;;4</endperson22>,specialeffects:+1 directing:+1 ;;;;performances:+1 films:-1 character:-1 ;;;; ;;;;movie:+1 movie:-1 </endperson22>,0.423388415069305;;;;0.37164531737981665;;;;0.3519130017505616;;;;0.311825553966836 </endperson22>
0,23,5,accent:+1 actors:-1 </endperson23>,108</endperson23>,4</endperson23>,script:+1 character:-1 </endperson23>,0.4031788443124489 </endperson23>
0,24,4,actors:-1 isnt:-1 </endperson24>,103</endperson24>,4</endperson24>,movie:+1 specialeffects:+1 isnt:-1 </endperson24>,0.5730363276244884 </endperson24>
0,25,2,arent:+1 isnt:-1 tlook:-1 </endperson25>,103</endperson25>,3</endperson25>,soundtrack:+1 movie:+1 script:-1 </endperson25>,0.5730363276244884 </endperson25>
0,26,3,disc:-1 </endperson26>,2;;;;7;;;;64;;;;69;;;;119;;;;132;;;;134;;;;136;;;;190;;;;301;;;;396;;;;428;;;;446;;;;459;;;;465;;;;482;;;;483;;;;508</endperson26>,4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;3;;;;4;;;;4;;;;3;;;;4;;;;4;;;;4;;;;3;;;;4;;;;4;;;;4;;;;4</endperson26>,movies:+1 character:+1 movie:+1 audiences:+1 actor:-1 ;;;;films:-1 disk:-1 disc:-1 ;;;;films:-1 ;;;;chemistry:+1 films:-1 reviews:-1 ;;;;chemistry:+1 cast:+1 films:-1 ;;;;wi:+1 ;;;;films:+1 specialeffects:+1 ;;;; ;;;;stunt:+1 plot:-1 scene:-1 ;;;;specialeffects:+1 ;;;;stunts:-1 ;;;;soundtrack:+1 ;;;;turns:+1 ;;;;films:+1 movie:+1 ;;;;director:+1 motifs:-1 ;;;;movie:+1 isnt:-1 ;;;;character:+1 script:-1 ;;;;isnt:+1 watch:-1 </endperson26>,0.3598002837136889;;;;0.3647114470038695;;;;0.3506253654554847;;;;0.2965165723877533;;;;0.3545407663489266;;;;0.33705751909953685;;;;0.46892404634350915;;;;0.3355121508004809;;;;0.33711712220639845;;;;0.423388415069305;;;;0.4173504574653333;;;;0.30155424972036493;;;;0.475554300223334;;;;0.44240752472998546;;;;0.26361251489064463;;;;0.2238665105367108;;;;0.370400002885907;;;;0.3935420614529662 </endperson26>
0,27,4,character:+1 humour:+1 actors:-1 character:-1 </endperson27>,5;;;;7;;;;189;;;;190;;;;291;;;;507</endperson27>,4;;;;4;;;;4;;;;4;;;;5;;;;4</endperson27>, ;;;;scenes:+1 acting:+1 humour:-1 scenes:-1 ;;;;pirateradio:-1 ;;;;soundtrack:+1 character:+1 ;;;;acting:+1 character:-1 watch:-1 ;;;; </endperson27>,0.3160243717712128;;;;0.3647114470038695;;;;0.3353015524780778;;;;0.33711712220639845;;;;0.43052855628952635;;;;0.30647043078456093 </endperson27>
0,28,3,isnt:+1 actionfilms:+1 reviews:-1 credits:-1 </endperson28>,7;;;;306;;;;314;;;;459;;;;465</endperson28>,4;;;;4;;;;4;;;;4;;;;4</endperson28>,chemistry:+1 ending:-1 ;;;;acting:+1 films:-1 ;;;;fightscenes:+1 acting:+1 watch:-1 ;;;;character:+1 stoner:-1 ;;;;actors:+1 movie:+1 charactercomedy:-1 strings:-1 stoners:-1 percussion:-1 </endperson28>,0.3647114470038695;;;;0.30436982417203295;;;;0.22531473074751573;;;;0.44240752472998546;;;;0.26361251489064463 </endperson28>
0,29,4,humour:-1 </endperson29>,7;;;;318;;;;513</endperson29>,4;;;;4;;;;4</endperson29>,moments:+1 chemistry:-1 moments:-1 ;;;;actor:+1 comedy:+1 movie:-1 plot:-1 scenes:-1 mom:-1 ;;;;actor:+1 films:+1 scene:+1 </endperson29>,0.3647114470038695;;;;0.22880696635495412;;;;0.21098432002631662 </endperson29>
0,30,4,ending:+1 arent:+1 performance:+1 isnt:+1 discversion:+1 scenes:-1 </endperson30>,109;;;;190;;;;467</endperson30>,4;;;;4;;;;3</endperson30>,cast:+1 ;;;; ;;;; </endperson30>,0.1725867585874281;;;;0.33711712220639845;;;;0.26454541727957304 </endperson30>
0,31,4,performance:+1 </endperson31>,302;;;;478</endperson31>,4;;;;4</endperson31>,character:-1 performance:-1 ;;;;cast:+1 </endperson31>,0.2858478947896501;;;;0.416124803366138 </endperson31>
0,32,4, </endperson32>,2;;;;7;;;;64;;;;67;;;;84;;;;103;;;;108;;;;123;;;;190;;;;278;;;;308;;;;310;;;;423;;;;433;;;;439;;;;507;;;;704</endperson32>,4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;3;;;;4;;;;4;;;;4;;;;4</endperson32>,movies:-1 ;;;; ;;;;performances:+1 movie:-1 isnt:-1 ;;;;cinemas:+1 wi:+1 movie:-1 plot:-1 ;;;; ;;;;performance:+1 movie:-1 ;;;;storyline:+1 films:-1 ;;;;actors:+1 isnt:-1 credits:-1 ;;;;plot:+1 actionscenes:+1 ;;;;plot:+1 ;;;;movie:-1 tanything:-1 ;;;; ;;;;movie:+1 ;;;; ;;;;character:+1 ;;;;scenes:-1 ;;;; </endperson32>,0.3598002837136889;;;;0.3647114470038695;;;;0.3506253654554847;;;;0.08988133402684284;;;;0.5192626536258943;;;;0.5730363276244884;;;;0.4031788443124489;;;;0.44081553580798083;;;;0.33711712220639845;;;;0.3282178644723832;;;;0.4598629145154446;;;;0.4074052728606503;;;;0.43856574921374913;;;;0.20725420171321707;;;;0.2823084137280294;;;;0.30647043078456093;;;;0.2757160670744059 </endperson32>
0,33,3,movie:+1 isnt:+1 truck:-1 video:-1 </endperson33>,2;;;;80;;;;97;;;;99;;;;185;;;;191;;;;513</endperson33>,4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4</endperson33>,movies:+1 director:+1 movie:-1 ;;;; ;;;;screenplay:+1 cast:-1 character:-1 ;;;;actors:+1 wi:+1 movie:+1 scenes:-1 video:-1 sequences:-1 ;;;;movie:+1 ;;;;films:+1 character:+1 acting:+1 ;;;;scene:+1 </endperson33>,0.3598002837136889;;;;0.41189314678839206;;;;0.4178499518901264;;;;0.3658986603259411;;;;0.27620811918673926;;;;0.35658557449058936;;;;0.21098432002631662 </endperson33>
0,34,4,scenes:+1 daughters:+1 performances:+1 </endperson34>,250;;;;301;;;;320</endperson34>,4;;;;3;;;;5</endperson34>,star:+1 director:+1 beau:-1 ;;;; ;;;; </endperson34>,0.4837214749551473;;;;0.423388415069305;;;;0.3032893735519385 </endperson34>
0,35,4,plot:-1 acting:-1 </endperson35>,7;;;;96;;;;119;;;;306;;;;442;;;;456;;;;458</endperson35>,4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4</endperson35>,character:+1 ;;;;films:-1 plot:-1 ;;;;acting:+1 acting:-1 ;;;;films:+1 ;;;;films:+1 character:+1 character:-1 ;;;; ;;;;acting:+1 scenes:-1 </endperson35>,0.3647114470038695;;;;0.3587414706208458;;;;0.3545407663489266;;;;0.30436982417203295;;;;0.449119829515898;;;;0.2571099876035159;;;;0.4033888912594411 </endperson35>
0,36,5,isnt:+1 character:-1 isnt:-1 </endperson36>,67;;;;69;;;;103;;;;465</endperson36>,4;;;;4;;;;4;;;;4</endperson36>,actors:+1 ;;;; ;;;; ;;;;character:+1 acting:-1 </endperson36>,0.08988133402684284;;;;0.2965165723877533;;;;0.5730363276244884;;;;0.26361251489064463 </endperson36>
0,37,4,isnt:+1 scenes:+1 films:-1 isnt:-1 </endperson37>,119;;;;317</endperson37>,4;;;;4</endperson37>,isnt:-1 ;;;;character:-1 movie:-1 </endperson37>,0.3545407663489266;;;;0.38576902148508674 </endperson37>
0,38,3,isnt:-1 watch:-1 </endperson38>,</endperson38>,</endperson38>,</endperson38>, </endperson38>
0,39,4,actors:+1 loveaffair:+1 character:-1 isnt:-1 </endperson39>,5;;;;67;;;;313;;;;465</endperson39>,4;;;;4;;;;3;;;;4</endperson39>, ;;;;bourgeois:+1 actresses:+1 wi:+1 ;;;;wasnt:-1 ;;;;isnt:+1 woodwinds:-1 </endperson39>,0.3160243717712128;;;;0.08988133402684284;;;;0.38908108410535136;;;;0.26361251489064463 </endperson39>
0,40,4,character:-1 </endperson40>,2;;;;4;;;;7;;;;67;;;;69;;;;113;;;;183;;;;191;;;;306;;;;446;;;;459;;;;467;;;;468;;;;499</endperson40>,4;;;;4;;;;4;;;;4;;;;4;;;;5;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;3</endperson40>,movie:-1 plot:-1 ;;;; ;;;;actress:+1 storyline:+1 ;;;;films:+1 wi:+1 studios:-1 movie:-1 script:-1 ;;;;wi:+1 movie:+1 ;;;; ;;;; ;;;;films:+1 ;;;; ;;;;character:+1 movie:+1 performances:+1 plot:-1 watch:-1 ;;;;tlook:+1 character:-1 ;;;;scenery:+1 ;;;;scenes:-1 ;;;; </endperson40>,0.3598002837136889;;;;0.5586710659295967;;;;0.3647114470038695;;;;0.08988133402684284;;;;0.2965165723877533;;;;0.335137914199207;;;;0.3910202668906849;;;;0.35658557449058936;;;;0.30436982417203295;;;;0.475554300223334;;;;0.44240752472998546;;;;0.26454541727957304;;;;0.4021391568332713;;;;0.3490533877295414 </endperson40>
0,41,4,isnt:+1 tfeel:+1 lovestory:+1 </endperson41>,187;;;;399</endperson41>,4;;;;4</endperson41>,films:+1 ;;;;films:+1 </endperson41>,0.40457370903179346;;;;0.37164531737981665 </endperson41>
0,42,3,moments:-1 isnt:-1 </endperson42>,7;;;;67;;;;76;;;;190;;;;191;;;;308;;;;309;;;;318</endperson42>,4;;;;4;;;;3;;;;4;;;;4;;;;4;;;;3;;;;4</endperson42>, ;;;;turns:+1 ;;;;moments:+1 ;;;;plot:+1 snothing:+1 ;;;;tanything:+1 ;;;;comedies:+1 characters:+1 tfeel:+1 character:-1 movie:-1 scenes:-1 ;;;;comedy:+1 ;;;;isnt:+1 </endperson42>,0.3647114470038695;;;;0.08988133402684284;;;;0.3967549081103008;;;;0.33711712220639845;;;;0.35658557449058936;;;;0.4598629145154446;;;;0.3271232388872005;;;;0.22880696635495412 </endperson42>
0,43,5,disc:+1 films:-1 choc:-1 </endperson43>,</endperson43>,</endperson43>,</endperson43>, </endperson43>
0,44,3,actors:-1 </endperson44>,98</endperson44>,4</endperson44>, </endperson44>,0.5736823377049675 </endperson44>
0,45,3,someones:-1 </endperson45>,7;;;;306;;;;311;;;;317;;;;415;;;;433;;;;459;;;;472;;;;704</endperson45>,4;;;;4;;;;4;;;;4;;;;3;;;;4;;;;3;;;;4;;;;4</endperson45>,scenes:+1 stunts:+1 moments:-1 sexreferences:-1 ;;;;actor:+1 ending:+1 watch:-1 storyline:-1 ;;;; ;;;;comedy:-1 ;;;;moments:+1 ;;;;isnt:+1 films:-1 ;;;;films:-1 ;;;; ;;;; </endperson45>,0.3647114470038695;;;;0.30436982417203295;;;;0.29027414066236035;;;;0.38576902148508674;;;;0.3196495801864545;;;;0.20725420171321707;;;;0.44240752472998546;;;;0.35339892853282784;;;;0.2757160670744059 </endperson45>
0,46,5,wi:+1 </endperson46>,67;;;;183;;;;190;;;;446;;;;465</endperson46>,4;;;;4;;;;4;;;;4;;;;4</endperson46>,films:+1 wi:+1 character:+1 movie:+1 isnt:+1 director:+1 ;;;;movie:+1 character:-1 ;;;; ;;;; ;;;;performances:+1 stalker:-1 tfeel:-1 </endperson46>,0.08988133402684284;;;;0.3910202668906849;;;;0.33711712220639845;;;;0.475554300223334;;;;0.26361251489064463 </endperson46>
0,47,3,performance:+1 characters:+1 isnt:-1 scenes:-1 </endperson47>,308</endperson47>,4</endperson47>,movie:+1 isnt:+1 movie:-1 </endperson47>,0.4598629145154446 </endperson47>
0,48,5,performance:+1 isnt:+1 ending:-1 actors:-1 </endperson48>,7;;;;446;;;;459</endperson48>,4;;;;4;;;;4</endperson48>,bonus:-1 ;;;; ;;;;films:+1 acting:+1 actor:-1 character:-1 wrestlers:-1 </endperson48>,0.3647114470038695;;;;0.475554300223334;;;;0.44240752472998546 </endperson48>
0,49,4,chemistry:-1 </endperson49>,2;;;;62;;;;103</endperson49>,4;;;;4;;;;4</endperson49>, ;;;; ;;;;movie:+1 isnt:+1 </endperson49>,0.3598002837136889;;;;0.2833294624654876;;;;0.5730363276244884 </endperson49>
0,50,4,films:+1 character:-1 </endperson50>,14;;;;67;;;;301;;;;426;;;;465</endperson50>,4;;;;4;;;;3;;;;4;;;;4</endperson50>,actor:+1 ;;;;cinemas:+1 movie:+1 films:-1 ;;;;actors:-1 ;;;;wifes:-1 ;;;;performances:+1 character:-1 piano:-1 movie:-1 </endperson50>,0.46783280286759577;;;;0.08988133402684284;;;;0.423388415069305;;;;0.3053028760052695;;;;0.26361251489064463 </endperson50>
0,51,4,viewers:+1 performance:+1 character:-1 isnt:-1 </endperson51>,291</endperson51>,4</endperson51>,storm:-1 scene:-1 </endperson51>,0.43052855628952635 </endperson51>
0,52,4,isnt:+1 </endperson52>,7;;;;20;;;;110;;;;308;;;;314;;;;429;;;;468</endperson52>,4;;;;3;;;;4;;;;4;;;;4;;;;3;;;;4</endperson52>,character:-1 ;;;;movie:+1 ;;;;movie:+1 acting:+1 scenes:-1 ;;;;movie:+1 ;;;;comedymoments:+1 character:-1 humour:-1 ;;;; ;;;;scenes:+1 humour:-1 </endperson52>,0.3647114470038695;;;;0.2012793853549839;;;;0.42322848799867474;;;;0.4598629145154446;;;;0.22531473074751573;;;;0.42876555916893455;;;;0.4021391568332713 </endperson52>
0,53,4,performance:+1 isnt:+1 humour:+1 disc:+1 character:-1 watch:-1 screen:-1 </endperson53>,436;;;;800</endperson53>,4;;;;4</endperson53>,movie:+1 ;;;;ending:+1 soundtrack:+1 actors:+1 </endperson53>,0.42635143267364695;;;;0.20085765213499274 </endperson53>
0,54,4,scenes:-1 </endperson54>,2;;;;7;;;;64;;;;69;;;;123;;;;132;;;;183;;;;190;;;;228;;;;308;;;;316;;;;441;;;;459;;;;501</endperson54>,5;;;;4;;;;4;;;;4;;;;4;;;;5;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;3</endperson54>,movies:+1 movie:+1 movie:-1 comics:-1 humour:-1 guys:-1 ;;;;electro:-1 bonus:-1 ;;;;credits:-1 ;;;; ;;;;viewers:+1 ;;;;instalment:+1 scenes:+1 ;;;; ;;;;character:+1 ;;;;character:-1 moments:-1 ;;;;movie:+1 specialeffects:+1 ;;;;movie:+1 character:-1 ;;;;films:+1 character:+1 movie:-1 isnt:-1 ;;;;character:-1 ;;;;movie:+1 prom:-1 </endperson54>,0.3598002837136889;;;;0.3647114470038695;;;;0.3506253654554847;;;;0.2965165723877533;;;;0.44081553580798083;;;;0.33705751909953685;;;;0.3910202668906849;;;;0.33711712220639845;;;;0.36596246390502085;;;;0.4598629145154446;;;;0.26370460981239496;;;;0.3951903938794653;;;;0.44240752472998546;;;;0.23018956943432856 </endperson54>
0,55,3,scenes:+1 acting:+1 romance:-1 character:-1 isnt:-1 </endperson55>,7;;;;96;;;;97</endperson55>,4;;;;4;;;;4</endperson55>,nudity:+1 disk:-1 bonus:-1 ;;;;performances:+1 ;;;;scenery:+1 actors:-1 </endperson55>,0.3647114470038695;;;;0.3587414706208458;;;;0.4178499518901264 </endperson55>
0,56,3,character:+1 extras:-1 </endperson56>,</endperson56>,</endperson56>,</endperson56>, </endperson56>
0,57,3,screenplay:+1 hit:-1 </endperson57>,108;;;;109</endperson57>,4;;;;4</endperson57>, ;;;; </endperson57>,0.4031788443124489;;;;0.1725867585874281 </endperson57>
0,58,4,isnt:+1 comedy:+1 </endperson58>,2;;;;301</endperson58>,4;;;;3</endperson58>,movie:+1 movies:-1 ;;;;performances:+1 specialeffects:-1 </endperson58>,0.3598002837136889;;;;0.423388415069305 </endperson58>
0,59,3,snothing:+1 storyline:-1 </endperson59>,7;;;;8;;;;306;;;;467;;;;483</endperson59>,4;;;;4;;;;4;;;;4;;;;4</endperson59>,plot:+1 ;;;;movie:+1 ;;;; ;;;;isnt:-1 ;;;;acting:+1 actors:-1 performance:-1 suspense:-1 acting:-1 </endperson59>,0.3647114470038695;;;;0.4007143183039674;;;;0.30436982417203295;;;;0.26454541727957304;;;;0.370400002885907 </endperson59>
0,60,5,films:+1 isnt:+1 productions:+1 performances:+1 </endperson60>,2;;;;7;;;;64;;;;69;;;;103;;;;111;;;;115;;;;278;;;;312;;;;412;;;;470;;;;511</endperson60>,4;;;;4;;;;3;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;3</endperson60>,script:+1 ;;;;character:+1 bonus:-1 ;;;; ;;;; ;;;;wi:+1 movie:+1 script:+1 ;;;;movie:+1 films:-1 character:-1 ;;;;truck:-1 ;;;;character:-1 scenes:-1 ;;;;truck:-1 ;;;;character:+1 ;;;;movie:+1 ;;;;films:+1 </endperson60>,0.3598002837136889;;;;0.3647114470038695;;;;0.3506253654554847;;;;0.2965165723877533;;;;0.5730363276244884;;;;0.3728535056138744;;;;0.2930765010760479;;;;0.3282178644723832;;;;0.34600385222708496;;;;0.3980492012211605;;;;0.4253430086620291;;;;0.28811901636968906 </endperson60>
0,61,3,comedy:+1 watch:-1 </endperson61>,103</endperson61>,4</endperson61>,movie:+1 director:+1 movie:-1 </endperson61>,0.5730363276244884 </endperson61>
0,62,4,scenes:+1 performances:+1 isnt:-1 </endperson62>,67;;;;103;;;;104;;;;447</endperson62>,4;;;;4;;;;3;;;;4</endperson62>,movie:+1 cast:-1 storm:-1 specialeffects:-1 ;;;;storm:-1 ;;;; ;;;;budget:+1 </endperson62>,0.08988133402684284;;;;0.5730363276244884;;;;0.39432773516216035;;;;0.15506314023889678 </endperson62>
0,63,3,performance:+1 scenes:+1 character:-1 </endperson63>,14;;;;308;;;;399;;;;465</endperson63>,4;;;;4;;;;4;;;;4</endperson63>,scenes:+1 star:-1 ;;;;character:-1 movie:-1 moving:-1 ;;;;actors:+1 ;;;; </endperson63>,0.46783280286759577;;;;0.4598629145154446;;;;0.37164531737981665;;;;0.26361251489064463 </endperson63>
0,64,4,performance:+1 reviews:+1 scenes:+1 character:-1 toilethumour:-1 </endperson64>,7;;;;8;;;;69;;;;99;;;;103;;;;117;;;;190;;;;446;;;;485</endperson64>,4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;3</endperson64>,scenes:+1 acting:+1 character:-1 watch:-1 scene:-1 ;;;;movie:+1 movie:-1 ;;;;movie:+1 movie:-1 watch:-1 ;;;;scenery:+1 moments:-1 ;;;;movie:+1 character:-1 ;;;;performances:+1 ;;;;performances:+1 ;;;;actors:-1 ;;;;actor:+1 actress:+1 </endperson64>,0.3647114470038695;;;;0.4007143183039674;;;;0.2965165723877533;;;;0.3658986603259411;;;;0.5730363276244884;;;;0.2941934208943804;;;;0.33711712220639845;;;;0.475554300223334;;;;0.32066349014942896 </endperson64>
