user,item,helped_rating,rating,sentiment,hu_sentiment
749,172:1176,4,5,moving:+1 character:-1 </endperson55>,moving:+1 character:-1 </endperson55>
749,421:1176,4,5,cast:+1 character:+1 performance:+1 movie:+1 </endperson56>,</endperson56>
8,7:456,4,5,actors:+1 </endperson57>,actors:+1 </endperson57>
8,63:456,4,5,movie:+1 studio:-1 cast:-1 character:-1 </endperson58>,</endperson58>
8,67:456,4,4,films:+1 movie:+1 humour:+1 specialeffects:+1 films:-1 movie:-1 budget:-1 </endperson59>,</endperson59>
8,99:456,5,3, </endperson60>,</endperson60>
8,183:456,4,4, </endperson61>,</endperson61>
8,187:456,4,4, </endperson62>,</endperson62>
392,647:925,3,5,films:+1 </endperson63>,films:+1 </endperson63>
7,190:650,4,5,soundtrack:+1 character:+1 films:-1 </endperson64>,soundtrack:+1 character:+1 films:-1 </endperson64>
7,308:650,4,5,movies:+1 films:+1 character:+1 movie:+1 scenes:+1 character:-1 movie:-1 watch:-1 moving:-1 </endperson65>,</endperson65>
7,462:650,3,5,storyline:+1 audio:-1 </endperson66>,</endperson66>
67,7:541,4,4, </endperson67>, </endperson67>
67,426:541,4,5,character:+1 movie:+1 </endperson68>,</endperson68>
67,446:541,4,4,character:-1 </endperson69>,</endperson69>
67,465:541,5,3,scenes:+1 character:-1 tension:-1 strings:-1 credits:-1 </endperson70>,</endperson70>
67,467:541,4,5,moments:+1 </endperson71>,</endperson71>
67,482:541,4,5, </endperson72>,</endperson72>
582,531:236,3,4, </endperson73>, </endperson73>
164,362:715,4,2, </endperson74>, </endperson74>
476,444:805,4,3,films:+1 performance:+1 character:-1 </endperson75>,films:+1 performance:+1 character:-1 </endperson75>
476,475:805,4,3,character:+1 </endperson76>,</endperson76>
465,235:330,4,4,acting:+1 budget:-1 </endperson77>,acting:+1 budget:-1 </endperson77>
364,380:976,4,5,movies:+1 actors:+1 scenes:+1 isnt:-1 </endperson78>,movies:+1 actors:+1 scenes:+1 isnt:-1 </endperson78>
123,5:396,4,5,hero:+1 watch:-1 </endperson79>,hero:+1 watch:-1 </endperson79>
123,101:396,4,5,tfeel:+1 beau:-1 </endperson80>,</endperson80>
123,314:396,4,4, </endperson81>,</endperson81>
123,459:396,4,3,moments:-1 movie:-1 </endperson82>,</endperson82>
123,504:1126,4,4,character:-1 </endperson83>,character:-1 </endperson83>
184,93:376,4,5,specialeffects:+1 </endperson84>,specialeffects:+1 </endperson84>
67,11:759,5,5,scenes:+1 </endperson85>,scenes:+1 </endperson85>
67,73:759,4,4,movie:-1 </endperson86>,</endperson86>
67,113:759,5,4,director:+1 character:-1 </endperson87>,</endperson87>
67,183:759,4,5, </endperson88>,</endperson88>
67,190:759,4,4, </endperson89>,</endperson89>
67,455:759,3,4,character:-1 </endperson90>,</endperson90>
67,466:759,4,4,character:+1 movie:-1 </endperson91>,</endperson91>
67,683:759,4,5,explosions:+1 movie:-1 </endperson92>,</endperson92>
584,361:941,4,1,films:-1 </endperson93>,films:-1 </endperson93>
465,7:475,4,4,chemistry:+1 acting:+1 </endperson94>,chemistry:+1 acting:+1 </endperson94>
67,174:315,2,5, </endperson95>, </endperson95>
233,193:1261,4,5,ending:+1 character:+1 </endperson96>,ending:+1 character:+1 </endperson96>
382,627:538,3,5, </endperson97>, </endperson97>
146,195:1122,4,2,movie:+1 character:-1 plot:-1 </endperson98>,movie:+1 character:-1 plot:-1 </endperson98>
146,204:1122,4,5,acting:+1 </endperson99>,</endperson99>
146,419:1122,4,4, </endperson100>,</endperson100>
7,109:167,4,5,movie:+1 </endperson101>,movie:+1 </endperson101>
7,276:167,4,5,actress:+1 motionpicture:+1 </endperson102>,</endperson102>
7,458:167,4,3,isnt:-1 </endperson103>,</endperson103>
7,459:167,4,5,actress:+1 character:+1 films:-1 </endperson104>,</endperson104>
7,540:167,3,5,performances:+1 </endperson105>,</endperson105>
9,67:732,4,4,character:-1 movie:-1 tfeel:-1 </endperson106>,character:-1 movie:-1 tfeel:-1 </endperson106>
9,308:732,4,4,scenes:+1 movie:-1 </endperson107>,</endperson107>
9,397:732,4,5,films:+1 casting:+1 </endperson108>,</endperson108>
9,465:732,4,3,reviews:+1 sfilms:+1 characters:+1 stringarrangements:-1 </endperson109>,</endperson109>
9,690:732,3,3, </endperson110>,</endperson110>
9,787:732,4,4,scenes:-1 </endperson111>,</endperson111>
67,7:456,4,5,actors:+1 </endperson112>,actors:+1 </endperson112>
67,8:456,4,5,movie:+1 </endperson113>,</endperson113>
67,63:456,4,5,movie:+1 studio:-1 cast:-1 character:-1 </endperson114>,</endperson114>
67,68:456,2,3,character:+1 movie:+1 movie:-1 </endperson115>,</endperson115>
67,99:456,5,3, </endperson116>,</endperson116>
67,132:456,4,5, </endperson117>,</endperson117>
67,183:456,5,4, </endperson118>,</endperson118>
67,187:456,4,4, </endperson119>,</endperson119>
67,190:456,4,4,acting:+1 </endperson120>,</endperson120>
67,599:456,4,3,wasnt:+1 acting:+1 wasnt:-1 moving:-1 </endperson121>,</endperson121>
67,748:456,4,4,cast:+1 films:+1 films:-1 character:-1 scenes:-1 </endperson122>,</endperson122>
67,786:456,4,2,movie:+1 </endperson123>,</endperson123>
16,156:634,4,4,ending:+1 moments:-1 </endperson124>,ending:+1 moments:-1 </endperson124>
476,328:1344,4,5,films:-1 movie:-1 scenes:-1 </endperson125>,films:-1 movie:-1 scenes:-1 </endperson125>
476,333:1344,4,4,character:-1 </endperson126>,</endperson126>
147,297:480,4,5, </endperson127>, </endperson127>
241,243:461,4,5, </endperson128>, </endperson128>
241,348:461,4,5,scenes:+1 twist:+1 </endperson129>,</endperson129>
133,83:419,5,4,performances:+1 character:-1 smoothness:-1 scenes:-1 turns:-1 </endperson130>,performances:+1 character:-1 smoothness:-1 scenes:-1 turns:-1 </endperson130>
465,151:1043,4,4,character:+1 disc:+1 </endperson131>,character:+1 disc:+1 </endperson131>
217,17:820,4,5, </endperson132>, </endperson132>
217,148:820,4,1,plot:+1 isnt:+1 </endperson133>,</endperson133>
217,382:820,4,4,movie:+1 </endperson134>,</endperson134>
217,444:820,4,5,character:+1 scenes:+1 </endperson135>,</endperson135>
217,639:820,4,4,tfeel:+1 performances:+1 </endperson136>,</endperson136>
217,643:820,4,5,movie:+1 scenes:+1 </endperson137>,</endperson137>
306,781:1007,3,4,character:+1 movie:+1 </endperson138>,character:+1 movie:+1 </endperson138>
0,67:14,4,4,stunt:+1 films:-1 </endperson139>,stunt:+1 films:-1 </endperson139>
0,112:14,4,4,movie:-1 </endperson140>,</endperson140>
0,132:14,4,5,budget:+1 </endperson141>,</endperson141>
0,306:14,4,4,chemistry:+1 character:+1 performance:+1 humour:+1 actionscenes:+1 script:+1 films:-1 plot:-1 </endperson142>,</endperson142>
0,308:14,4,4,movie:+1 movie:-1 </endperson143>,</endperson143>
0,398:14,4,4,movie:+1 </endperson144>,</endperson144>
0,467:14,4,4,character:-1 fightsequences:-1 </endperson145>,</endperson145>
2,433:318,4,4,isnt:+1 plot:+1 </endperson146>,isnt:+1 plot:+1 </endperson146>
8,67:521,4,4,films:-1 surprises:-1 </endperson147>,films:-1 surprises:-1 </endperson147>
8,69:521,4,4,character:-1 </endperson148>,</endperson148>
8,88:521,4,4,backstories:+1 </endperson149>,</endperson149>
8,465:521,4,4, </endperson150>,</endperson150>
801,268:842,3,5,cast:+1 </endperson151>,cast:+1 </endperson151>
37,329:360,4,1,pathos:+1 character:-1 acting:-1 </endperson152>,pathos:+1 character:-1 acting:-1 </endperson152>
409,1:209,4,5,films:-1 </endperson153>,films:-1 </endperson153>
409,190:209,3,3,scenes:-1 </endperson154>,</endperson154>
409,214:209,4,5,director:-1 </endperson155>,</endperson155>
409,220:209,4,2,character:+1 character:-1 </endperson156>,</endperson156>
409,243:209,4,5,plot:+1 casting:+1 plot:-1 </endperson157>,</endperson157>
426,513:546,4,2,plot:+1 </endperson158>,plot:+1 </endperson158>
488,141:694,4,4,scenes:+1 movie:-1 sexreferences:-1 </endperson159>,scenes:+1 movie:-1 sexreferences:-1 </endperson159>
124,0:124,4,4,performance:+1 </endperson160>,performance:+1 </endperson160>
264,378:371,4,4,actionsequences:+1 movie:-1 familyman:-1 </endperson161>,actionsequences:+1 movie:-1 familyman:-1 </endperson161>
419,172:1246,4,4,performances:+1 specialeffects:-1 </endperson162>,performances:+1 specialeffects:-1 </endperson162>
308,747:797,3,4,thriller:+1 </endperson163>,thriller:+1 </endperson163>
238,531:236,4,4, </endperson164>, </endperson164>
78,113:533,4,2,wi:+1 acting:+1 </endperson165>,wi:+1 acting:+1 </endperson165>
78,469:533,5,3,movie:-1 </endperson166>,</endperson166>
579,171:208,4,4,diamond:+1 </endperson167>,diamond:+1 </endperson167>
7,459:619,4,4,films:+1 character:+1 comedy:+1 moments:-1 </endperson168>,films:+1 character:+1 comedy:+1 moments:-1 </endperson168>
7,461:619,4,5,sexreferences:-1 </endperson169>,</endperson169>
123,500:188,4,1, </endperson170>, </endperson170>
88,187:447,4,5,films:+1 character:-1 </endperson171>,films:+1 character:-1 </endperson171>
384,223:384,3,5, </endperson172>, </endperson172>
203,41:196,3,1,director:+1 </endperson173>,director:+1 </endperson173>
203,201:196,3,2, </endperson174>,</endperson174>
203,205:196,4,4,performance:+1 scenes:+1 screen:+1 plot:-1 scenes:-1 </endperson175>,</endperson175>
203,225:196,4,4, </endperson176>,</endperson176>
203,249:196,4,4,ending:+1 films:-1 actors:-1 viewers:-1 </endperson177>,</endperson177>
203,555:196,3,5, </endperson178>,</endperson178>
295,216:602,4,5,films:+1 budget:-1 </endperson179>,films:+1 budget:-1 </endperson179>
295,267:602,3,5, </endperson180>,</endperson180>
295,409:602,4,5,acting:+1 budget:-1 </endperson181>,</endperson181>
26,244:855,4,5,movie:-1 </endperson182>,movie:-1 </endperson182>
797,820:820,3,5, </endperson183>, </endperson183>
466,446:4,4,3,cast:+1 character:-1 </endperson184>,cast:+1 character:-1 </endperson184>
103,466:249,4,4,ending:+1 films:-1 </endperson185>,ending:+1 films:-1 </endperson185>
308,7:393,4,5,character:+1 moving:+1 moving:-1 </endperson186>,character:+1 moving:+1 moving:-1 </endperson186>
97,90:1063,3,3,tanything:+1 tanything:-1 </endperson187>,tanything:+1 tanything:-1 </endperson187>
97,318:1063,4,5,movie:+1 plot:+1 character:-1 movie:-1 </endperson188>,</endperson188>
136,2:26,4,5,movies:+1 character:+1 movie:+1 audiences:+1 actor:-1 </endperson189>,movies:+1 character:+1 movie:+1 audiences:+1 actor:-1 </endperson189>
449,708:863,3,2, </endperson190>, </endperson190>
491,3:350,4,5,viewers:-1 </endperson191>,viewers:-1 </endperson191>
92,60:253,4,1,viewers:+1 movie:+1 character:-1 plot:-1 </endperson192>,viewers:+1 movie:+1 character:-1 plot:-1 </endperson192>
481,17:708,4,4,director:+1 </endperson193>,director:+1 </endperson193>
481,31:708,4,4,stunt:+1 camerawork:-1 </endperson194>,</endperson194>
318,7:619,4,4,moments:-1 bonus:-1 </endperson195>,moments:-1 bonus:-1 </endperson195>
264,258:190,4,5,character:-1 </endperson196>,character:-1 </endperson196>
264,338:190,4,5, </endperson197>,</endperson197>
191,7:589,4,4,chemistry:+1 character:+1 scenes:-1 </endperson198>,chemistry:+1 character:+1 scenes:-1 </endperson198>
730,8:273,4,4,actors:+1 performance:+1 movie:+1 script:+1 tlook:-1 </endperson199>,actors:+1 performance:+1 movie:+1 script:+1 tlook:-1 </endperson199>
730,465:273,4,4,chemistry:+1 films:-1 </endperson200>,</endperson200>
624,443:820,4,5, </endperson201>, </endperson201>
624,637:820,3,5,character:-1 </endperson202>,</endperson202>
115,0:53,5,4,performance:+1 isnt:+1 humour:+1 disc:+1 character:-1 watch:-1 screen:-1 </endperson203>,performance:+1 isnt:+1 humour:+1 disc:+1 character:-1 watch:-1 screen:-1 </endperson203>
26,252:408,2,3,character:+1 </endperson204>,character:+1 </endperson204>
488,280:129,3,5, </endperson205>, </endperson205>
488,538:129,4,5,films:+1 highschool:+1 soundtrack:-1 movie:-1 scenes:-1 scene:-1 </endperson206>,</endperson206>
488,543:129,3,5, </endperson207>,</endperson207>
488,553:129,4,5,films:+1 soundtrack:+1 slapstick:+1 </endperson208>,</endperson208>
199,605:839,4,5,films:+1 </endperson209>,films:+1 </endperson209>
536,8:335,4,3,specialeffects:+1 script:-1 </endperson210>,specialeffects:+1 script:-1 </endperson210>
536,44:335,3,3,plot:+1 specialeffects:+1 </endperson211>,</endperson211>
536,158:335,3,4,acting:+1 character:-1 </endperson212>,</endperson212>
536,168:335,3,4, </endperson213>,</endperson213>
536,192:335,4,3, </endperson214>,</endperson214>
536,325:335,4,5,plot:+1 screen:+1 actors:-1 character:-1 movie:-1 plot:-1 budget:-1 </endperson215>,</endperson215>
536,330:335,2,5,specialeffects:+1 movie:-1 </endperson216>,</endperson216>
536,405:335,4,4,wasnt:-1 </endperson217>,</endperson217>
536,465:335,4,3,plot:+1 </endperson218>,</endperson218>
536,566:335,3,5, </endperson219>,</endperson219>
558,225:634,4,5,character:+1 slapstick:-1 </endperson220>,character:+1 slapstick:-1 </endperson220>
558,762:634,2,5, </endperson221>,</endperson221>
465,185:1037,4,3, </endperson222>, </endperson222>
465,191:1037,4,2,scenes:+1 </endperson223>,</endperson223>
17,215:814,4,5,credits:-1 </endperson224>,credits:-1 </endperson224>
17,347:814,4,5,stunt:+1 acting:+1 films:-1 scenes:-1 budget:-1 </endperson225>,</endperson225>
17,638:814,4,5,movie:-1 scenes:-1 accent:-1 </endperson226>,</endperson226>
15,328:303,4,4,soundtrack:+1 soundtrack:-1 </endperson227>,soundtrack:+1 soundtrack:-1 </endperson227>
0,7:28,4,4,chemistry:+1 ending:-1 </endperson228>,chemistry:+1 ending:-1 </endperson228>
0,306:28,4,5,acting:+1 films:-1 </endperson229>,</endperson229>
0,314:28,4,3,fightscenes:+1 acting:+1 watch:-1 </endperson230>,</endperson230>
0,459:28,4,3,character:+1 stoner:-1 </endperson231>,</endperson231>
0,465:28,4,4,actors:+1 movie:+1 charactercomedy:-1 strings:-1 stoners:-1 percussion:-1 </endperson232>,</endperson232>
623,357:812,4,4,scharacter:+1 isnt:-1 </endperson233>,scharacter:+1 isnt:-1 </endperson233>
239,255:859,4,4, </endperson234>, </endperson234>
50,48:960,5,4,character:+1 moments:+1 tfeel:-1 </endperson235>,character:+1 moments:+1 tfeel:-1 </endperson235>
704,491:820,2,5,chemistry:+1 performances:+1 </endperson236>,chemistry:+1 performances:+1 </endperson236>
465,67:1002,4,4,scenes:-1 </endperson237>,scenes:-1 </endperson237>
465,301:1002,3,5,specialeffects:+1 </endperson238>,</endperson238>
318,297:468,4,5,films:-1 moments:-1 </endperson239>,films:-1 moments:-1 </endperson239>
318,306:468,4,3,films:+1 watch:+1 scene:-1 </endperson240>,</endperson240>
301,112:260,3,4, </endperson241>, </endperson241>
46,794:807,4,4,slapstick:+1 script:+1 </endperson242>,slapstick:+1 script:+1 </endperson242>
488,108:447,4,5,cast:+1 tfeel:+1 movie:-1 </endperson243>,cast:+1 tfeel:+1 movie:-1 </endperson243>
268,261:1317,4,4,movies:+1 movie:+1 </endperson244>,movies:+1 movie:+1 </endperson244>
268,262:1317,4,3,soundtrack:+1 animation:+1 character:-1 </endperson245>,</endperson245>
268,391:1317,3,4, </endperson246>,</endperson246>
0,7:139,4,3,bonus:-1 </endperson247>,bonus:-1 </endperson247>
0,506:139,3,4,specialeffects:+1 </endperson248>,</endperson248>
163,8:713,4,3,twists:+1 films:-1 character:-1 </endperson249>,twists:+1 films:-1 character:-1 </endperson249>
518,2:77,4,4,performance:+1 movie:+1 movie:-1 watch:-1 </endperson250>,performance:+1 movie:+1 movie:-1 watch:-1 </endperson250>
596,768:933,4,3,scenes:-1 </endperson251>,scenes:-1 </endperson251>
172,419:905,5,3, </endperson252>, </endperson252>
172,449:905,4,4, </endperson253>,</endperson253>
301,7:405,4,2,character:+1 viewers:+1 roles:+1 scenes:-1 </endperson254>,character:+1 viewers:+1 roles:+1 scenes:-1 </endperson254>
341,249:782,4,3, </endperson255>, </endperson255>
60,144:746,4,3,performance:+1 </endperson256>,performance:+1 </endperson256>
60,306:746,4,4,actors:+1 performances:+1 moments:-1 performance:-1 watch:-1 </endperson257>,</endperson257>
465,67:660,4,3,parks:+1 character:-1 gum:-1 </endperson258>,parks:+1 character:-1 gum:-1 </endperson258>
465,308:660,4,3,movie:+1 movie:-1 reviews:-1 </endperson259>,</endperson259>
69,67:26,4,3, </endperson260>, </endperson260>
379,384:1182,4,5,specialeffects:-1 </endperson261>,specialeffects:-1 </endperson261>
8,174:484,4,5,isnt:-1 </endperson262>,isnt:-1 </endperson262>
8,464:484,4,3,movie:+1 </endperson263>,</endperson263>
378,820:802,2,4,specialeffects:+1 scenes:+1 </endperson264>,specialeffects:+1 scenes:+1 </endperson264>
586,273:775,4,5,scenes:+1 movie:-1 </endperson265>,scenes:+1 movie:-1 </endperson265>
361,382:1241,4,5, </endperson266>, </endperson266>
21,384:830,4,1,movies:+1 </endperson267>,movies:+1 </endperson267>
500,432:1077,4,5, </endperson268>, </endperson268>
7,190:485,4,5,plot:+1 cast:-1 character:-1 </endperson269>,plot:+1 cast:-1 character:-1 </endperson269>
7,458:485,4,5,character:+1 moments:+1 scenes:+1 adventure:-1 </endperson270>,</endperson270>
357,582:1050,4,5, </endperson271>, </endperson271>
136,469:1170,5,5,movie:-1 </endperson272>,movie:-1 </endperson272>
449,204:199,5,5,character:+1 comedy:+1 scenes:+1 character:-1 </endperson273>,character:+1 comedy:+1 scenes:+1 character:-1 </endperson273>
449,212:199,4,5, </endperson274>,</endperson274>
449,419:199,4,4,cast:+1 films:-1 </endperson275>,</endperson275>
103,4:380,4,4,acting:-1 </endperson276>,acting:-1 </endperson276>
397,6:415,4,5,actors:+1 actresses:-1 performances:-1 </endperson277>,actors:+1 actresses:-1 performances:-1 </endperson277>
347,225:800,4,5,humour:+1 </endperson278>,humour:+1 </endperson278>
347,433:800,3,4,cast:+1 films:+1 </endperson279>,</endperson279>
347,647:800,3,5,character:-1 </endperson280>,</endperson280>
368,52:977,4,2, </endperson281>, </endperson281>
368,234:977,4,5,plot:+1 </endperson282>,</endperson282>
368,387:977,2,4,movie:+1 </endperson283>,</endperson283>
368,529:977,4,4,movies:+1 character:-1 </endperson284>,</endperson284>
368,731:977,3,3, </endperson285>,</endperson285>
96,109:1120,4,2,isnt:-1 </endperson286>,isnt:-1 </endperson286>
96,190:1120,4,4, </endperson287>,</endperson287>
369,641:1158,3,4, </endperson288>, </endperson288>
369,680:1158,4,3, </endperson289>,</endperson289>
8,1:194,4,3, </endperson290>, </endperson290>
8,152:194,4,4, </endperson291>,</endperson291>
136,5:407,4,5, </endperson292>, </endperson292>
136,84:407,4,4, </endperson293>,</endperson293>
136,130:407,5,4, </endperson294>,</endperson294>
136,151:407,4,4, </endperson295>,</endperson295>
419,220:786,4,3,films:-1 script:-1 </endperson296>,films:-1 script:-1 </endperson296>
680,220:918,4,4,films:+1 movie:+1 movie:-1 </endperson297>,films:+1 movie:+1 movie:-1 </endperson297>
624,360:802,3,5, </endperson298>, </endperson298>
202,163:1074,4,4,familyentertainment:+1 comedy:-1 </endperson299>,familyentertainment:+1 comedy:-1 </endperson299>
202,212:1074,4,3, </endperson300>,</endperson300>
202,267:152,3,2, </endperson301>, </endperson301>
7,0:139,4,4,isnt:+1 </endperson302>,isnt:+1 </endperson302>
84,189:164,4,4, </endperson303>, </endperson303>
84,465:164,4,4,character:+1 </endperson304>,</endperson304>
84,478:164,4,4, </endperson305>,</endperson305>
84,704:164,4,5,chemistry:+1 films:+1 movie:+1 </endperson306>,</endperson306>
301,187:1002,4,2,movie:-1 </endperson307>,movie:-1 </endperson307>
466,69:533,4,5, </endperson308>, </endperson308>
466,113:533,4,2,wi:+1 acting:+1 </endperson309>,</endperson309>
466,130:533,4,4,character:+1 </endperson310>,</endperson310>
466,278:533,4,4,plot:+1 character:-1 </endperson311>,</endperson311>
466,469:533,5,3,movie:-1 </endperson312>,</endperson312>
466,783:533,4,5, </endperson313>,</endperson313>
488,151:143,4,5,storyline:+1 </endperson314>,storyline:+1 </endperson314>
488,172:143,4,5,cast:+1 actors:+1 scene:+1 actress:-1 </endperson315>,</endperson315>
0,415:123,4,4, </endperson316>, </endperson316>
0,433:123,4,3,isnt:+1 </endperson317>,</endperson317>
308,191:556,5,3,isnt:+1 character:-1 scenes:-1 scene:-1 </endperson318>,isnt:+1 character:-1 scenes:-1 scene:-1 </endperson318>
332,12:768,4,2,movie:+1 movie:-1 budget:-1 </endperson319>,movie:+1 movie:-1 budget:-1 </endperson319>
8,42:598,5,4,character:+1 </endperson320>,character:+1 </endperson320>
8,145:598,3,4,isnt:+1 </endperson321>,</endperson321>
8,174:598,3,4,films:+1 specialeffects:-1 </endperson322>,</endperson322>
8,403:598,4,4,character:+1 </endperson323>,</endperson323>
268,492:498,3,5, </endperson324>, </endperson324>
268,532:498,4,5,actor:+1 visuals:+1 isnt:+1 scenes:+1 menus:+1 performances:+1 budget:-1 </endperson325>,</endperson325>
268,768:498,4,5, </endperson326>,</endperson326>
87,144:896,4,4,actresses:+1 character:+1 humour:+1 </endperson327>,actresses:+1 character:+1 humour:+1 </endperson327>
2,147:258,4,4,isnt:+1 actionsequences:+1 chemistry:-1 characterdevelopment:-1 visuals:-1 </endperson328>,isnt:+1 actionsequences:+1 chemistry:-1 characterdevelopment:-1 visuals:-1 </endperson328>
2,445:258,4,3,soundtrack:+1 </endperson329>,</endperson329>
2,508:258,4,5, </endperson330>,</endperson330>
476,3:333,4,1, </endperson331>, </endperson331>
476,8:333,4,3,tfeel:+1 films:-1 </endperson332>,</endperson332>
476,26:333,4,2, </endperson333>,</endperson333>
476,30:333,4,5,movie:-1 footage:-1 </endperson334>,</endperson334>
476,37:333,3,4,interviews:+1 </endperson335>,</endperson335>
476,87:333,4,4, </endperson336>,</endperson336>
476,192:333,4,3,screen:+1 </endperson337>,</endperson337>
476,465:333,4,4, </endperson338>,</endperson338>
476,547:333,3,2, </endperson339>,</endperson339>
476,566:333,3,4,movie:+1 </endperson340>,</endperson340>
187,306:258,5,5,films:+1 watch:-1 </endperson341>,films:+1 watch:-1 </endperson341>
117,483:1191,4,4,acting:+1 </endperson342>,acting:+1 </endperson342>
301,183:652,4,3,actor:+1 prom:-1 </endperson343>,actor:+1 prom:-1 </endperson343>
0,5:153,4,5,scenes:+1 cast:-1 </endperson344>,scenes:+1 cast:-1 </endperson344>
0,282:153,4,5,films:+1 character:+1 specialeffects:+1 script:+1 </endperson345>,</endperson345>
0,404:153,4,4,hero:+1 acting:+1 </endperson346>,</endperson346>
244,252:832,3,5, </endperson347>, </endperson347>
244,374:832,4,4, </endperson348>,</endperson348>
244,443:832,4,5, </endperson349>,</endperson349>
244,582:832,4,5,script:+1 acting:+1 character:-1 </endperson350>,</endperson350>
244,606:832,3,5, </endperson351>,</endperson351>
465,7:629,4,3,actors:+1 wi:+1 character:-1 </endperson352>,actors:+1 wi:+1 character:-1 </endperson352>
7,8:574,4,4,cast:+1 performance:+1 tanything:-1 </endperson353>,cast:+1 performance:+1 tanything:-1 </endperson353>
7,67:574,4,3,datemovie:+1 scenes:+1 character:-1 </endperson354>,</endperson354>
7,81:574,3,5,cast:+1 films:-1 </endperson355>,</endperson355>
7,108:574,4,4,character:+1 acting:+1 </endperson356>,</endperson356>
7,123:574,4,5,credits:-1 isnt:-1 </endperson357>,</endperson357>
7,157:574,4,5,films:-1 </endperson358>,</endperson358>
7,305:574,4,4,chemistry:+1 character:+1 humour:+1 scenes:+1 comedies:-1 humour:-1 </endperson359>,</endperson359>
7,465:574,4,4,character:-1 </endperson360>,</endperson360>
488,746:316,2,2,movie:+1 character:-1 </endperson361>,movie:+1 character:-1 </endperson361>
