user,item,helped_rating,rating,sentiment,hu_sentiment
67,465:521,4,4, </endperson2666>,acting:+1 </endperson2666>
7,410:383,4,5,movie:+1 scenes:-1 </endperson2671>,movie:+1 movie:-1 </endperson2671>
7,69:396,4,3, </endperson2693>, </endperson2693>
7,123:396,4,4,comedy:+1 scenes:+1 watch:-1 </endperson2695>, </endperson2695>
7,426:396,4,2, </endperson2699>, </endperson2699>
2,6:77,4,5,humour:+1 video:+1 sbusiness:+1 </endperson2769>,films:+1 character:+1 films:-1 arent:-1 </endperson2769>
101,190:402,4,4,performance:+1 </endperson2800>,scenes:-1 </endperson2800>
67,465:90,5,4,character:-1 strings:-1 brass:-1 pyrotechnics:-1 turns:-1 </endperson2848>, </endperson2848>
8,99:524,4,4, </endperson2866>, </endperson2866>
67,99:524,4,4, </endperson2903>,chemistry:+1 character:+1 </endperson2903>
465,113:632,4,4,screen:+1 </endperson2994>,character:+1 actor:-1 gags:-1 </endperson2994>
123,0:79,4,3,isnt:+1 isnt:-1 </endperson3009>,isnt:+1 isnt:-1 </endperson3009>
123,190:79,4,4,character:-1 </endperson3012>,isnt:+1 isnt:-1 </endperson3012>
123,0:32,4,4, </endperson3031>, </endperson3031>
123,84:32,4,4, </endperson3033>, </endperson3033>
123,310:32,5,5, </endperson3034>, </endperson3034>
7,311:571,4,5,performance:+1 screen:+1 performances:+1 character:-1 </endperson3087>,cast:+1 script:+1 allie:-1 movie:-1 </endperson3087>
7,466:468,4,3,character:+1 plot:+1 </endperson3121>,soundtrack:+1 isnt:+1 genre:+1 </endperson3121>
465,8:32,4,4,movie:+1 </endperson3253>,movie:+1 </endperson3253>
0,465:90,4,4,character:-1 strings:-1 brass:-1 pyrotechnics:-1 turns:-1 </endperson3273>,movie:+1 characters:+1 movies:-1 character:-1 movie:-1 </endperson3273>
190,398:14,4,4,movie:+1 </endperson3317>,movie:-1 </endperson3317>
190,469:14,4,4, </endperson3318>,movie:-1 </endperson3318>
101,190:15,4,3, </endperson3364>,scenes:+1 </endperson3364>
0,459:40,4,4,tlook:+1 character:-1 </endperson3376>,movie:-1 plot:-1 </endperson3376>
318,103:98,4,1,movie:+1 </endperson3411>,movie:+1 </endperson3411>
8,398:14,4,4,movie:+1 </endperson3474>,character:+1 roles:+1 scene:-1 </endperson3474>
67,0:14,4,4,character:-1 isnt:-1 </endperson3506>,character:-1 isnt:-1 </endperson3506>
67,306:14,5,4,chemistry:+1 character:+1 performance:+1 humour:+1 actionscenes:+1 script:+1 films:-1 plot:-1 </endperson3515>,character:-1 isnt:-1 </endperson3515>
67,398:14,4,4,movie:+1 </endperson3517>,character:-1 isnt:-1 </endperson3517>
67,467:14,4,4,character:-1 fightsequences:-1 </endperson3519>,character:-1 isnt:-1 </endperson3519>
67,469:14,5,4, </endperson3520>,character:-1 isnt:-1 </endperson3520>
398,297:487,4,4,chemistry:+1 character:-1 </endperson3640>,chemistry:+1 character:-1 </endperson3640>
306,466:468,4,3,character:+1 plot:+1 </endperson3650>,character:+1 plot:+1 </endperson3650>
67,92:253,5,1, </endperson3726>, </endperson3726>
9,0:32,4,4, </endperson3839>, </endperson3839>
9,64:32,4,4,performances:+1 movie:-1 isnt:-1 </endperson3841>, </endperson3841>
9,84:32,4,4, </endperson3844>, </endperson3844>
9,123:32,4,5,actors:+1 isnt:-1 credits:-1 </endperson3846>, </endperson3846>
9,190:32,4,4,plot:+1 actionscenes:+1 </endperson3847>, </endperson3847>
9,310:32,4,5, </endperson3850>, </endperson3850>
9,460:32,4,5, </endperson3856>, </endperson3856>
9,132:487,4,5,watch:+1 scenes:+1 films:-1 </endperson3932>,scenes:+1 movie:-1 </endperson3932>
9,188:487,3,4,wasnt:-1 </endperson3933>,scenes:+1 movie:-1 </endperson3933>
9,290:487,4,1, </endperson3934>,scenes:+1 movie:-1 </endperson3934>
2,0:32,4,4, </endperson3952>, </endperson3952>
2,9:32,4,5, </endperson3953>, </endperson3953>
2,84:32,4,4, </endperson3954>, </endperson3954>
2,460:32,4,5, </endperson3957>, </endperson3957>
67,4:376,3,3, </endperson3991>, </endperson3991>
69,115:533,4,2,performance:+1 </endperson4015>,performance:+1 </endperson4015>
0,6:77,4,5,humour:+1 video:+1 sbusiness:+1 </endperson4037>,performance:+1 movie:+1 movie:-1 watch:-1 </endperson4037>
190,8:574,4,4,cast:+1 performance:+1 tanything:-1 </endperson4055>,cast:+1 performance:+1 tanything:-1 </endperson4055>
123,433:521,4,4,isnt:-1 humour:-1 </endperson4060>,actors:+1 movie:-1 </endperson4060>
7,465:90,4,4,character:-1 strings:-1 brass:-1 pyrotechnics:-1 turns:-1 </endperson4136>,movie:+1 characters:+1 movies:-1 character:-1 movie:-1 </endperson4136>
465,115:533,4,2,performance:+1 </endperson4138>,performance:+1 </endperson4138>
465,469:533,4,3,movie:-1 </endperson4140>,performance:+1 </endperson4140>
67,7:388,4,5,roles:+1 acting:+1 </endperson4151>,actors:+1 </endperson4151>
67,398:388,5,5,films:-1 character:-1 </endperson4156>,actors:+1 </endperson4156>
67,428:21,4,4,isnt:-1 </endperson4172>, </endperson4172>
99,103:64,5,4,movie:+1 character:-1 </endperson4219>,movie:+1 character:-1 </endperson4219>
99,465:64,4,3,fare:+1 actors:+1 character:-1 moments:-1 turns:-1 </endperson4220>,movie:+1 character:-1 </endperson4220>
69,88:521,4,4,backstories:+1 </endperson4244>,backstories:+1 </endperson4244>
69,398:521,4,5,actor:+1 character:+1 comedy:+1 scenes:+1 acting:+1 character:-1 performances:-1 </endperson4245>,backstories:+1 </endperson4245>
69,465:521,4,4, </endperson4246>,backstories:+1 </endperson4246>
5,69:396,4,3, </endperson4340>, </endperson4340>
5,426:396,4,2, </endperson4341>, </endperson4341>
308,179:17,4,4,isnt:-1 performances:-1 acting:-1 </endperson4532>,performance:+1 character:-1 </endperson4532>
6,322:94,4,5, </endperson4585>,performance:+1 movie:+1 isnt:+1 </endperson4585>
6,781:94,3,3, </endperson4586>,performance:+1 movie:+1 isnt:+1 </endperson4586>
5,410:120,4,5,movies:+1 films:-1 character:-1 scenes:-1 </endperson4589>,acting:+1 </endperson4589>
398,7:388,4,5,roles:+1 acting:+1 </endperson4609>,roles:+1 acting:+1 </endperson4609>
465,99:524,4,4, </endperson4617>,chemistry:+1 character:+1 </endperson4617>
308,290:487,4,1, </endperson4632>, </endperson4632>
308,297:487,4,4,chemistry:+1 character:-1 </endperson4633>, </endperson4633>
0,103:98,4,1,movie:+1 </endperson4687>,humour:+1 scenes:+1 </endperson4687>
306,319:187,4,3,films:+1 </endperson4770>, </endperson4770>
306,506:89,4,5,films:+1 </endperson4898>,character:+1 character:-1 credits:-1 </endperson4898>
0,395:78,4,3,humour:+1 </endperson4904>,character:+1 movies:-1 cinemas:-1 </endperson4904>
69,103:393,4,4,movie:+1 characters:+1 isnt:+1 </endperson4954>,movie:+1 characters:+1 isnt:+1 </endperson4954>
69,465:393,4,2,character:+1 performance:-1 movie:-1 </endperson4956>,movie:+1 characters:+1 isnt:+1 </endperson4956>
465,58:260,4,5, </endperson4988>, </endperson4988>
9,69:258,4,4,isnt:+1 movie:-1 </endperson5012>,character:+1 movie:+1 character:-1 movie:-1 screen:-1 budget:-1 </endperson5012>
9,147:258,4,4,isnt:+1 actionsequences:+1 chemistry:-1 characterdevelopment:-1 visuals:-1 </endperson5018>,character:+1 movie:+1 character:-1 movie:-1 screen:-1 budget:-1 </endperson5018>
9,191:258,4,4,films:+1 actors:+1 script:+1 </endperson5022>,character:+1 movie:+1 character:-1 movie:-1 screen:-1 budget:-1 </endperson5022>
9,468:258,4,2,script:-1 </endperson5027>,character:+1 movie:+1 character:-1 movie:-1 screen:-1 budget:-1 </endperson5027>
465,311:571,4,5,performance:+1 screen:+1 performances:+1 character:-1 </endperson5041>,cast:+1 script:+1 allie:-1 movie:-1 </endperson5041>
7,318:421,4,5, </endperson5078>,actress:+1 </endperson5078>
67,464:484,4,3,movie:+1 </endperson5103>,moments:-1 sexreferences:-1 </endperson5103>
0,191:42,4,4,tanything:+1 </endperson5121>, </endperson5121>
0,308:42,4,3,comedies:+1 characters:+1 tfeel:+1 character:-1 movie:-1 scenes:-1 </endperson5122>, </endperson5122>
7,459:40,4,4,tlook:+1 character:-1 </endperson5215>,character:-1 </endperson5215>
69,312:60,4,3,truck:-1 </endperson5218>,truck:-1 </endperson5218>
67,1:99,4,4,character:+1 </endperson5243>,character:+1 </endperson5243>
433,473:82,3,5,scenes:-1 </endperson5279>,scenes:-1 </endperson5279>
7,4:376,4,3, </endperson5285>, </endperson5285>
67,115:533,5,2,performance:+1 </endperson5300>, </endperson5300>
7,103:393,4,4,movie:+1 characters:+1 isnt:+1 </endperson5311>,scenes:+1 character:-1 </endperson5311>
7,465:393,4,2,character:+1 performance:-1 movie:-1 </endperson5315>,scenes:+1 character:-1 </endperson5315>
101,157:415,4,3,performances:+1 </endperson5439>, </endperson5439>
69,179:17,4,4,isnt:-1 performances:-1 acting:-1 </endperson5487>,isnt:-1 performances:-1 acting:-1 </endperson5487>
0,1:99,4,4,character:+1 </endperson5597>,character:+1 </endperson5597>
113,306:251,5,5,reviews:-1 </endperson5680>,reviews:-1 </endperson5680>
113,310:251,5,5,ending:+1 movie:-1 </endperson5681>,reviews:-1 </endperson5681>
113,319:251,5,4, </endperson5682>,reviews:-1 </endperson5682>
113,397:251,4,4,character:+1 video:+1 </endperson5683>,reviews:-1 </endperson5683>
113,469:251,5,5,movie:+1 character:-1 </endperson5684>,reviews:-1 </endperson5684>
465,308:428,4,4, </endperson5760>,actress:+1 roles:+1 zombie:+1 acting:+1 watch:-1 </endperson5760>
318,191:42,4,4,tanything:+1 </endperson5770>,soundtrack:+1 films:-1 </endperson5770>
318,308:42,4,3,comedies:+1 characters:+1 tfeel:+1 character:-1 movie:-1 scenes:-1 </endperson5771>,soundtrack:+1 films:-1 </endperson5771>
318,150:521,4,5,acting:+1 </endperson5818>,movie:+1 comedy:+1 watch:-1 humour:-1 </endperson5818>
318,306:521,4,5, </endperson5819>,movie:+1 comedy:+1 watch:-1 humour:-1 </endperson5819>
0,190:79,4,4,character:-1 </endperson5843>,adventure:-1 </endperson5843>
8,113:632,4,4,screen:+1 </endperson5926>,screen:+1 </endperson5926>
9,5:146,3,5, </endperson5934>,films:+1 performance:+1 reviews:+1 comedy:+1 performance:-1 isnt:-1 </endperson5934>
306,5:396,4,5,hero:+1 watch:-1 </endperson5988>,hero:+1 watch:-1 </endperson5988>
8,5:146,4,5, </endperson6040>, </endperson6040>
5,472:394,4,5,performances:+1 </endperson6113>,soundtrack:+1 </endperson6113>
101,122:383,4,2, </endperson6142>,acting:+1 </endperson6142>
101,410:383,4,5,movie:+1 scenes:-1 </endperson6144>,acting:+1 </endperson6144>
433,9:32,4,5, </endperson6220>, </endperson6220>
5,410:383,4,5,movie:+1 scenes:-1 </endperson6342>,actors:-1 rating:-1 </endperson6342>
8,433:45,4,4,isnt:+1 films:-1 </endperson6344>,movies:+1 character:+1 movie:+1 scenes:+1 movies:-1 character:-1 movie:-1 scenes:-1 </endperson6344>
7,190:15,4,3, </endperson6352>,scenes:+1 </endperson6352>
7,433:15,4,4,chemistry:+1 cast:+1 films:+1 character:+1 </endperson6353>,scenes:+1 </endperson6353>
318,190:15,4,3, </endperson6401>,scenes:+1 </endperson6401>
318,433:15,4,4,chemistry:+1 cast:+1 films:+1 character:+1 </endperson6402>,scenes:+1 </endperson6402>
8,157:574,4,5,films:-1 </endperson6491>,films:-1 </endperson6491>
5,0:32,4,4, </endperson6523>, </endperson6523>
5,8:32,4,4,movie:+1 </endperson6524>, </endperson6524>
5,64:32,4,4,performances:+1 movie:-1 isnt:-1 </endperson6525>, </endperson6525>
5,84:32,4,4, </endperson6526>, </endperson6526>
5,439:32,4,4,character:+1 </endperson6528>, </endperson6528>
0,99:64,4,4,scenery:+1 moments:-1 </endperson6676>,scenes:+1 acting:+1 character:-1 watch:-1 scene:-1 </endperson6676>
0,103:64,4,4,movie:+1 character:-1 </endperson6677>,scenes:+1 acting:+1 character:-1 watch:-1 scene:-1 </endperson6677>
6,191:42,5,4,tanything:+1 </endperson6690>, </endperson6690>
6,308:42,4,3,comedies:+1 characters:+1 tfeel:+1 character:-1 movie:-1 scenes:-1 </endperson6691>, </endperson6691>
67,459:40,4,4,tlook:+1 character:-1 </endperson6700>,actress:+1 storyline:+1 </endperson6700>
67,103:393,4,4,movie:+1 characters:+1 isnt:+1 </endperson6794>,character:+1 moving:+1 moving:-1 </endperson6794>
67,465:393,4,2,character:+1 performance:-1 movie:-1 </endperson6797>,character:+1 moving:+1 moving:-1 </endperson6797>
0,322:94,4,5, </endperson6809>, </endperson6809>
0,781:94,3,3, </endperson6812>, </endperson6812>
67,311:571,4,5,performance:+1 screen:+1 performances:+1 character:-1 </endperson6865>,acting:+1 plot:-1 rating:-1 </endperson6865>
73,122:383,4,2, </endperson6879>,films:+1 movie:+1 </endperson6879>
433,69:521,4,4,character:-1 </endperson6910>,character:-1 </endperson6910>
433,88:521,4,4,backstories:+1 </endperson6911>,character:-1 </endperson6911>
7,69:521,4,4,character:-1 </endperson6965>,movies:+1 cast:+1 plot:+1 character:-1 movie:-1 </endperson6965>
7,88:521,4,4,backstories:+1 </endperson6966>,movies:+1 cast:+1 plot:+1 character:-1 movie:-1 </endperson6966>
7,150:521,4,5,acting:+1 </endperson6968>,movies:+1 cast:+1 plot:+1 character:-1 movie:-1 </endperson6968>
7,306:521,4,5, </endperson6970>,movies:+1 cast:+1 plot:+1 character:-1 movie:-1 </endperson6970>
7,433:521,4,4,isnt:-1 humour:-1 </endperson6973>,movies:+1 cast:+1 plot:+1 character:-1 movie:-1 </endperson6973>
7,58:260,4,5, </endperson6986>, </endperson6986>
5,103:393,4,4,movie:+1 characters:+1 isnt:+1 </endperson7002>,movie:+1 characters:+1 isnt:+1 </endperson7002>
5,465:393,4,2,character:+1 performance:-1 movie:-1 </endperson7003>,movie:+1 characters:+1 isnt:+1 </endperson7003>
7,191:42,4,4,tanything:+1 </endperson7042>,moments:-1 isnt:-1 </endperson7042>
7,308:42,4,3,comedies:+1 characters:+1 tfeel:+1 character:-1 movie:-1 scenes:-1 </endperson7043>,moments:-1 isnt:-1 </endperson7043>
7,319:187,4,3,films:+1 </endperson7064>,scenes:+1 hero:+1 scenes:-1 </endperson7064>
67,306:468,4,3,films:+1 watch:+1 scene:-1 </endperson7080>,chemistry:+1 acting:+1 </endperson7080>
308,0:14,4,4,character:-1 isnt:-1 </endperson7131>,character:-1 isnt:-1 </endperson7131>
308,467:14,4,4,character:-1 fightsequences:-1 </endperson7133>,character:-1 isnt:-1 </endperson7133>
8,9:32,4,5, </endperson7166>, </endperson7166>
8,103:32,4,5,performance:+1 movie:-1 </endperson7167>, </endperson7167>
8,310:32,4,5, </endperson7168>, </endperson7168>
7,0:14,4,4,character:-1 isnt:-1 </endperson7290>,character:-1 isnt:-1 </endperson7290>
7,306:14,4,4,chemistry:+1 character:+1 performance:+1 humour:+1 actionscenes:+1 script:+1 films:-1 plot:-1 </endperson7293>,character:-1 isnt:-1 </endperson7293>
7,398:14,4,4,movie:+1 </endperson7295>,character:-1 isnt:-1 </endperson7295>
7,467:14,4,4,character:-1 fightsequences:-1 </endperson7297>,character:-1 isnt:-1 </endperson7297>
7,469:14,5,4, </endperson7298>,character:-1 isnt:-1 </endperson7298>
6,0:79,4,3,isnt:+1 isnt:-1 </endperson7375>,isnt:+1 isnt:-1 </endperson7375>
6,190:79,4,4,character:-1 </endperson7378>,isnt:+1 isnt:-1 </endperson7378>
67,308:428,4,4, </endperson7460>,actress:+1 roles:+1 zombie:+1 acting:+1 watch:-1 </endperson7460>
2,312:60,4,3,truck:-1 </endperson7502>, </endperson7502>
99,459:40,4,4,tlook:+1 character:-1 </endperson7526>,wi:+1 slife:-1 </endperson7526>
312,0:32,5,4, </endperson7603>, </endperson7603>
312,9:32,4,5, </endperson7605>, </endperson7605>
312,84:32,4,4, </endperson7606>, </endperson7606>
312,103:32,4,5,performance:+1 movie:-1 </endperson7607>, </endperson7607>
312,310:32,4,5, </endperson7609>, </endperson7609>
312,460:32,4,5, </endperson7610>, </endperson7610>
306,7:421,4,5,soundtrack:+1 chickflick:+1 bonus:-1 </endperson7640>,cast:+1 character:+1 </endperson7640>
306,318:421,4,5, </endperson7642>,cast:+1 character:+1 </endperson7642>
465,189:27,4,3,pirateradio:-1 </endperson7672>,movie:+1 cast:-1 script:-1 </endperson7672>
465,291:27,4,5,acting:+1 character:-1 watch:-1 </endperson7673>,movie:+1 cast:-1 script:-1 </endperson7673>
465,7:388,4,5,roles:+1 acting:+1 </endperson7775>,roles:+1 acting:+1 </endperson7775>
0,433:45,4,4,isnt:+1 films:-1 </endperson7824>,scenes:+1 stunts:+1 moments:-1 sexreferences:-1 </endperson7824>
101,113:632,4,4,screen:+1 </endperson7871>,screen:+1 </endperson7871>
