@RELATION @user-item

@ATTRIBUTE user STRING 
@ATTRIBUTE item STRING 
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE sentiment STRING
@ATTRIBUTE help_user STRING
@ATTRIBUTE helped_rating STRING
@ATTRIBUTE help_sentiment STRING
@ATTRIBUTE help_sim STRING

@DATA
318,123:396,4,comedy:+1 scenes:+1 watch:-1 </endperson64>,123</endperson64>,4,</endperson64>,0.07828067021111274 </endperson64>
7,115:533,4,performance:+1 </endperson65>,115</endperson65>,2, </endperson65>,0.0 </endperson65>
7,469:533,5,movie:-1 </endperson66>,469</endperson66>,3,</endperson66>,0.0 </endperson66>
7,5:251,4,actors:+1 moments:+1 scenes:+1 actors:-1 character:-1 </endperson67>,5</endperson67>,5,storyline:+1 bonus:-1 </endperson67>,0.0 </endperson67>
7,113:251,5,actors:+1 films:+1 performance:+1 director:+1 comedy:+1 screens:-1 comedy:-1 </endperson68>,113</endperson68>,5,</endperson68>,0.0 </endperson68>
7,123:251,4,films:+1 actors:+1 movie:+1 isnt:+1 fiance:-1 performance:-1 watch:-1 </endperson69>,123</endperson69>,3,</endperson69>,0.0 </endperson69>
7,190:251,4,wi:+1 isnt:+1 </endperson70>,190</endperson70>,5,</endperson70>,0.0 </endperson70>
7,306:251,5,reviews:-1 </endperson71>,306</endperson71>,5,</endperson71>,0.0 </endperson71>
7,319:251,4, </endperson72>,319</endperson72>,4,</endperson72>,0.0 </endperson72>
7,397:251,4,character:+1 video:+1 </endperson73>,397</endperson73>,4,</endperson73>,0.0 </endperson73>
7,398:251,5,films:-1 character:-1 movie:-1 </endperson74>,398</endperson74>,5,</endperson74>,0.0 </endperson74>
7,469:251,5,movie:+1 character:-1 </endperson75>,469</endperson75>,5,</endperson75>,0.0 </endperson75>
465,99:64,4,scenery:+1 moments:-1 </endperson76>,99</endperson76>,4,fare:+1 actors:+1 character:-1 moments:-1 turns:-1 </endperson76>,0.536372703908241 </endperson76>
306,465:90,4,character:-1 strings:-1 brass:-1 pyrotechnics:-1 turns:-1 </endperson77>,465</endperson77>,4,performance:+1 acting:-1 </endperson77>,0.5219949628188675 </endperson77>
123,7:251,4,storyline:+1 bonus:-1 </endperson78>,7</endperson78>,4,films:+1 actors:+1 movie:+1 isnt:+1 fiance:-1 performance:-1 watch:-1 </endperson78>,0.0 </endperson78>
123,113:251,4,actors:+1 films:+1 performance:+1 director:+1 comedy:+1 screens:-1 comedy:-1 </endperson79>,113</endperson79>,5,</endperson79>,0.1942726071298253 </endperson79>
123,190:251,4,wi:+1 isnt:+1 </endperson80>,190</endperson80>,5,</endperson80>,0.3318309696656835 </endperson80>
123,310:251,4,ending:+1 movie:-1 </endperson81>,310</endperson81>,5,</endperson81>,0.5633269300074197 </endperson81>
123,319:251,4, </endperson82>,319</endperson82>,4,</endperson82>,0.05535279274210558 </endperson82>
123,397:251,4,character:+1 video:+1 </endperson83>,397</endperson83>,4,</endperson83>,0.15805039400712728 </endperson83>
123,398:251,4,films:-1 character:-1 movie:-1 </endperson84>,398</endperson84>,5,</endperson84>,0.3809185973393415 </endperson84>
398,5:251,4,actors:+1 moments:+1 scenes:+1 actors:-1 character:-1 </endperson85>,5</endperson85>,5,films:-1 character:-1 movie:-1 </endperson85>,0.1350910256780964 </endperson85>
398,123:251,4,films:+1 actors:+1 movie:+1 isnt:+1 fiance:-1 performance:-1 watch:-1 </endperson86>,123</endperson86>,3,</endperson86>,0.3809185973393415 </endperson86>
398,190:251,4,wi:+1 isnt:+1 </endperson87>,190</endperson87>,5,</endperson87>,0.482377480815086 </endperson87>
398,306:251,5,reviews:-1 </endperson88>,306</endperson88>,5,</endperson88>,0.5221006295361369 </endperson88>
398,310:251,4,ending:+1 movie:-1 </endperson89>,310</endperson89>,5,</endperson89>,0.4707310839095107 </endperson89>
398,319:251,5, </endperson90>,319</endperson90>,4,</endperson90>,0.0 </endperson90>
398,397:251,4,character:+1 video:+1 </endperson91>,397</endperson91>,4,</endperson91>,0.18251814405051647 </endperson91>
398,469:251,5,movie:+1 character:-1 </endperson92>,469</endperson92>,5,</endperson92>,0.44731458906230526 </endperson92>
0,506:89,4,films:+1 </endperson93>,506</endperson93>,5, </endperson93>,0.0 </endperson93>
308,433:45,4,isnt:+1 films:-1 </endperson94>,433</endperson94>,4,movies:+1 character:+1 movie:+1 scenes:+1 movies:-1 character:-1 movie:-1 scenes:-1 </endperson94>,0.10179565505991706 </endperson94>
7,395:78,4,humour:+1 </endperson95>,395</endperson95>,3,acting:+1 watch:-1 bonus:-1 </endperson95>,0.0 </endperson95>
99,97:547,4,actionscenes:+1 reviews:-1 </endperson96>,97</endperson96>,4,viewers:+1 romance:-1 </endperson96>,0.5468247117714428 </endperson96>
190,6:77,4,humour:+1 video:+1 sbusiness:+1 </endperson97>,6</endperson97>,5,films:+1 </endperson97>,0.44841159672107245 </endperson97>
190,4:376,4, </endperson98>,4</endperson98>,3,character:+1 </endperson98>,0.4936601867285837 </endperson98>
67,69:521,3,character:-1 </endperson99>,69</endperson99>,4,films:-1 surprises:-1 </endperson99>,0.36773307916982634 </endperson99>
67,88:521,4,backstories:+1 </endperson100>,88</endperson100>,4,</endperson100>,0.22908940587586113 </endperson100>
67,150:521,5,acting:+1 </endperson101>,150</endperson101>,5,</endperson101>,0.39689442734055524 </endperson101>
67,398:521,5,actor:+1 character:+1 comedy:+1 scenes:+1 acting:+1 character:-1 performances:-1 </endperson102>,398</endperson102>,5,</endperson102>,0.2928341722112108 </endperson102>
67,433:521,4,isnt:-1 humour:-1 </endperson103>,433</endperson103>,4,</endperson103>,0.3530646927434411 </endperson103>
67,465:521,4, </endperson104>,465</endperson104>,4,</endperson104>,0.2955915768685409 </endperson104>
7,410:383,4,movie:+1 scenes:-1 </endperson105>,410</endperson105>,5,actors:-1 rating:-1 </endperson105>,0.0 </endperson105>
7,69:396,4, </endperson106>,69</endperson106>,3,ending:+1 character:+1 </endperson106>,0.0 </endperson106>
7,123:396,4,comedy:+1 scenes:+1 watch:-1 </endperson107>,123</endperson107>,4,</endperson107>,0.0 </endperson107>
7,426:396,4, </endperson108>,426</endperson108>,2,</endperson108>,0.0 </endperson108>
2,6:77,4,humour:+1 video:+1 sbusiness:+1 </endperson109>,6</endperson109>,5,performance:+1 movie:+1 movie:-1 watch:-1 </endperson109>,0.3555783029850713 </endperson109>
101,190:402,4,performance:+1 </endperson110>,190</endperson110>,4,character:-1 </endperson110>,0.49868767999440533 </endperson110>
67,465:90,5,character:-1 strings:-1 brass:-1 pyrotechnics:-1 turns:-1 </endperson111>,465</endperson111>,4,films:+1 gadgets:+1 movie:-1 actionsequences:-1 </endperson111>,0.2955915768685409 </endperson111>
8,99:524,4, </endperson112>,99</endperson112>,4,movie:+1 scenes:-1 </endperson112>,0.7095920637234066 </endperson112>
67,99:524,4, </endperson113>,99</endperson113>,4,chemistry:+1 comedy:+1 snothing:+1 films:-1 </endperson113>,0.4968302339875972 </endperson113>
465,113:632,4,screen:+1 </endperson114>,113</endperson114>,4,arent:+1 isnt:+1 character:-1 accent:-1 </endperson114>,0.3006460091524854 </endperson114>
123,0:79,4,isnt:+1 isnt:-1 </endperson115>,0</endperson115>,3,movies:+1 movie:+1 scenes:+1 movie:-1 </endperson115>,0.26741067902228166 </endperson115>
123,190:79,4,character:-1 </endperson116>,190</endperson116>,4,</endperson116>,0.3318309696656835 </endperson116>
123,0:32,4, </endperson117>,0</endperson117>,4,actors:+1 isnt:-1 credits:-1 </endperson117>,0.26741067902228166 </endperson117>
123,84:32,4, </endperson118>,84</endperson118>,4,</endperson118>,0.15251516303782608 </endperson118>
123,310:32,5, </endperson119>,310</endperson119>,5,</endperson119>,0.5633269300074197 </endperson119>
7,311:571,4,performance:+1 screen:+1 performances:+1 character:-1 </endperson120>,311</endperson120>,5,acting:+1 plot:-1 rating:-1 </endperson120>,0.0 </endperson120>
7,466:468,4,character:+1 plot:+1 </endperson121>,466</endperson121>,3,chemistry:+1 acting:+1 </endperson121>,0.0 </endperson121>
465,8:32,4,movie:+1 </endperson122>,8</endperson122>,4,moments:+1 isnt:+1 strings:-1 screen:-1 shots:-1 stringarrangements:-1 </endperson122>,0.5081023420576253 </endperson122>
0,465:90,4,character:-1 strings:-1 brass:-1 pyrotechnics:-1 turns:-1 </endperson123>,465</endperson123>,4,comics:+1 </endperson123>,0.4623558698741156 </endperson123>
190,398:14,4,movie:+1 </endperson124>,398</endperson124>,4,cast:+1 cast:-1 scenes:-1 </endperson124>,0.482377480815086 </endperson124>
190,469:14,4, </endperson125>,469</endperson125>,4,</endperson125>,0.3042319692138279 </endperson125>
101,190:15,4, </endperson126>,190</endperson126>,3,acting:+1 </endperson126>,0.49868767999440533 </endperson126>
0,459:40,4,tlook:+1 character:-1 </endperson127>,459</endperson127>,4,character:-1 </endperson127>,0.3669545946733991 </endperson127>
318,103:98,4,movie:+1 </endperson128>,103</endperson128>,1, </endperson128>,0.0 </endperson128>
8,398:14,4,movie:+1 </endperson129>,398</endperson129>,4,chemistry:-1 plot:-1 assistant:-1 </endperson129>,0.40228013630648585 </endperson129>
67,0:14,4,character:-1 isnt:-1 </endperson130>,0</endperson130>,4,stunt:+1 films:-1 </endperson130>,0.20438134560853805 </endperson130>
67,306:14,5,chemistry:+1 character:+1 performance:+1 humour:+1 actionscenes:+1 script:+1 films:-1 plot:-1 </endperson131>,306</endperson131>,4,</endperson131>,0.38330175961573176 </endperson131>
67,398:14,4,movie:+1 </endperson132>,398</endperson132>,4,</endperson132>,0.2928341722112108 </endperson132>
67,467:14,4,character:-1 fightsequences:-1 </endperson133>,467</endperson133>,4,</endperson133>,0.3501531953399787 </endperson133>
67,469:14,5, </endperson134>,469</endperson134>,4,</endperson134>,0.5731670973278722 </endperson134>
398,297:487,4,chemistry:+1 character:-1 </endperson135>,297</endperson135>,4,actors:+1 films:+1 director:+1 character:-1 </endperson135>,0.46898905426527815 </endperson135>
306,466:468,4,character:+1 plot:+1 </endperson136>,466</endperson136>,3,films:+1 watch:+1 scene:-1 </endperson136>,0.5041325672780034 </endperson136>
67,92:253,5, </endperson137>,92</endperson137>,1,movies:+1 movie:+1 movies:-1 movie:-1 sequences:-1 </endperson137>,0.36028853755944 </endperson137>
9,0:32,4, </endperson138>,0</endperson138>,4, </endperson138>,0.33552820996301547 </endperson138>
9,64:32,4,performances:+1 movie:-1 isnt:-1 </endperson139>,64</endperson139>,4,</endperson139>,0.3983198675767886 </endperson139>
9,84:32,4, </endperson140>,84</endperson140>,4,</endperson140>,0.15876000030458248 </endperson140>
9,123:32,4,actors:+1 isnt:-1 credits:-1 </endperson141>,123</endperson141>,5,</endperson141>,0.570475625493111 </endperson141>
9,190:32,4,plot:+1 actionscenes:+1 </endperson142>,190</endperson142>,4,</endperson142>,0.46056809898300344 </endperson142>
9,310:32,4, </endperson143>,310</endperson143>,5,</endperson143>,0.5429157841815978 </endperson143>
9,460:32,4, </endperson144>,460</endperson144>,5,</endperson144>,0.2626310445874174 </endperson144>
9,132:487,4,watch:+1 scenes:+1 films:-1 </endperson145>,132</endperson145>,5,performance:+1 director:+1 character:-1 specialeffects:-1 screen:-1 budget:-1 </endperson145>,0.46938431884242915 </endperson145>
9,188:487,3,wasnt:-1 </endperson146>,188</endperson146>,4,</endperson146>,0.0 </endperson146>
9,290:487,4, </endperson147>,290</endperson147>,1,</endperson147>,0.6346279779363958 </endperson147>
2,0:32,4, </endperson148>,0</endperson148>,4,movies:-1 </endperson148>,0.6338504918311815 </endperson148>
2,9:32,4, </endperson149>,9</endperson149>,5,</endperson149>,0.3704861306873751 </endperson149>
2,84:32,4, </endperson150>,84</endperson150>,4,</endperson150>,0.3017466772242956 </endperson150>
2,460:32,4, </endperson151>,460</endperson151>,5,</endperson151>,0.25199273553854473 </endperson151>
67,4:376,3, </endperson152>,4</endperson152>,3,movie:+1 marines:-1 budget:-1 </endperson152>,0.29548997135321753 </endperson152>
69,115:533,4,performance:+1 </endperson153>,115</endperson153>,2, </endperson153>,0.5165163147266175 </endperson153>
0,6:77,4,humour:+1 video:+1 sbusiness:+1 </endperson154>,6</endperson154>,5,films:+1 character:+1 films:-1 arent:-1 </endperson154>,0.6835675426097105 </endperson154>
190,8:574,4,cast:+1 performance:+1 tanything:-1 </endperson155>,8</endperson155>,4, </endperson155>,0.4464898731775364 </endperson155>
123,433:521,4,isnt:-1 humour:-1 </endperson156>,433</endperson156>,4,movie:+1 comedy:+1 watch:-1 humour:-1 </endperson156>,0.4061260927306731 </endperson156>
7,465:90,4,character:-1 strings:-1 brass:-1 pyrotechnics:-1 turns:-1 </endperson157>,465</endperson157>,4,characters:+1 films:-1 disk:-1 bonus:-1 scenes:-1 </endperson157>,0.0 </endperson157>
465,115:533,4,performance:+1 </endperson158>,115</endperson158>,2,cameras:+1 character:-1 credits:-1 </endperson158>,0.4920743850754744 </endperson158>
465,469:533,4,movie:-1 </endperson159>,469</endperson159>,3,</endperson159>,0.45253613654182356 </endperson159>
67,7:388,4,roles:+1 acting:+1 </endperson160>,7</endperson160>,5,character:+1 movie:+1 </endperson160>,0.0 </endperson160>
67,398:388,5,films:-1 character:-1 </endperson161>,398</endperson161>,5,</endperson161>,0.2928341722112108 </endperson161>
67,428:21,4,isnt:-1 </endperson162>,428</endperson162>,4,films:+1 </endperson162>,0.0 </endperson162>
99,103:64,5,movie:+1 character:-1 </endperson163>,103</endperson163>,4,scenery:+1 moments:-1 </endperson163>,0.35518710281874544 </endperson163>
99,465:64,4,fare:+1 actors:+1 character:-1 moments:-1 turns:-1 </endperson164>,465</endperson164>,3,</endperson164>,0.536372703908241 </endperson164>
69,88:521,4,backstories:+1 </endperson165>,88</endperson165>,4,character:-1 </endperson165>,0.20634041350390542 </endperson165>
69,398:521,4,actor:+1 character:+1 comedy:+1 scenes:+1 acting:+1 character:-1 performances:-1 </endperson166>,398</endperson166>,5,</endperson166>,0.3420272102935258 </endperson166>
69,465:521,4, </endperson167>,465</endperson167>,4,</endperson167>,0.4906636896737957 </endperson167>
5,69:396,4, </endperson168>,69</endperson168>,3,hero:+1 watch:-1 </endperson168>,0.24680170716249517 </endperson168>
5,426:396,4, </endperson169>,426</endperson169>,2,</endperson169>,0.3814136607278671 </endperson169>
308,179:17,4,isnt:-1 performances:-1 acting:-1 </endperson170>,179</endperson170>,4,movie:+1 character:-1 performance:-1 </endperson170>,0.25875222039207313 </endperson170>
6,322:94,4, </endperson171>,322</endperson171>,5, </endperson171>,0.0 </endperson171>
6,781:94,3, </endperson172>,781</endperson172>,3,</endperson172>,0.0 </endperson172>
5,410:120,4,movies:+1 films:-1 character:-1 scenes:-1 </endperson173>,410</endperson173>,5,moments:+1 </endperson173>,0.24634782470276695 </endperson173>
398,7:388,4,roles:+1 acting:+1 </endperson174>,7</endperson174>,5,films:-1 character:-1 </endperson174>,0.0 </endperson174>
465,99:524,4, </endperson175>,99</endperson175>,4,character:+1 loveinterest:+1 moments:-1 plot:-1 </endperson175>,0.536372703908241 </endperson175>
308,290:487,4, </endperson176>,290</endperson176>,1,movie:+1 isnt:+1 character:-1 movie:-1 </endperson176>,0.24471628705001958 </endperson176>
308,297:487,4,chemistry:+1 character:-1 </endperson177>,297</endperson177>,4,</endperson177>,0.2027167431934105 </endperson177>
0,103:98,4,movie:+1 </endperson178>,103</endperson178>,1,isnt:+1 films:-1 isnt:-1 </endperson178>,0.3958331125867601 </endperson178>
306,319:187,4,films:+1 </endperson179>,319</endperson179>,3, </endperson179>,0.14474523807762685 </endperson179>
306,506:89,4,films:+1 </endperson180>,506</endperson180>,5,films:+1 performance:+1 scenery:+1 moments:-1 </endperson180>,0.0 </endperson180>
0,395:78,4,humour:+1 </endperson181>,395</endperson181>,3,character:+1 reviews:+1 acting:+1 character:-1 </endperson181>,0.42140060698046833 </endperson181>
69,103:393,4,movie:+1 characters:+1 isnt:+1 </endperson182>,103</endperson182>,4,movie:+1 scenes:+1 character:-1 movie:-1 </endperson182>,0.4416868917623651 </endperson182>
69,465:393,4,character:+1 performance:-1 movie:-1 </endperson183>,465</endperson183>,2,</endperson183>,0.4906636896737957 </endperson183>
465,58:260,4, </endperson184>,58</endperson184>,5,fare:+1 character:+1 brass:+1 character:-1 superhero:-1 </endperson184>,0.567440245326966 </endperson184>
9,69:258,4,isnt:+1 movie:-1 </endperson185>,69</endperson185>,4, </endperson185>,0.3937870312393663 </endperson185>
9,147:258,4,isnt:+1 actionsequences:+1 chemistry:-1 characterdevelopment:-1 visuals:-1 </endperson186>,147</endperson186>,4,</endperson186>,0.5540810838481274 </endperson186>
9,191:258,4,films:+1 actors:+1 script:+1 </endperson187>,191</endperson187>,4,</endperson187>,0.5906657509713155 </endperson187>
9,468:258,4,script:-1 </endperson188>,468</endperson188>,2,</endperson188>,0.0 </endperson188>
465,311:571,4,performance:+1 screen:+1 performances:+1 character:-1 </endperson189>,311</endperson189>,5,motifs:-1 screen:-1 </endperson189>,0.18534000350489 </endperson189>
7,318:421,4, </endperson190>,318</endperson190>,5,soundtrack:+1 chickflick:+1 bonus:-1 </endperson190>,0.0 </endperson190>
67,464:484,4,movie:+1 </endperson191>,464</endperson191>,3,comedy:+1 character:-1 </endperson191>,0.14276461032084486 </endperson191>
0,191:42,4,tanything:+1 </endperson192>,191</endperson192>,4,moments:-1 isnt:-1 </endperson192>,0.47971989166196605 </endperson192>
0,308:42,4,comedies:+1 characters:+1 tfeel:+1 character:-1 movie:-1 scenes:-1 </endperson193>,308</endperson193>,3,</endperson193>,0.34355872189204084 </endperson193>
7,459:40,4,tlook:+1 character:-1 </endperson194>,459</endperson194>,4,actress:+1 storyline:+1 </endperson194>,0.0 </endperson194>
69,312:60,4,truck:-1 </endperson195>,312</endperson195>,3, </endperson195>,0.3082870656841328 </endperson195>
67,1:99,4,character:+1 </endperson196>,1</endperson196>,4,romance:+1 movie:+1 rent:+1 gum:-1 </endperson196>,0.5004694552238695 </endperson196>
433,473:82,3,scenes:-1 </endperson197>,473</endperson197>,5,comedy:-1 </endperson197>,0.54632946387392 </endperson197>
7,4:376,4, </endperson198>,4</endperson198>,3,specialeffects:+1 acting:+1 </endperson198>,0.0 </endperson198>
67,115:533,5,performance:+1 </endperson199>,115</endperson199>,2,character:-1 </endperson199>,0.40298016235770073 </endperson199>
7,103:393,4,movie:+1 characters:+1 isnt:+1 </endperson200>,103</endperson200>,4,character:+1 moving:+1 moving:-1 </endperson200>,0.0 </endperson200>
7,465:393,4,character:+1 performance:-1 movie:-1 </endperson201>,465</endperson201>,2,</endperson201>,0.0 </endperson201>
101,157:415,4,performances:+1 </endperson202>,157</endperson202>,3,actors:+1 films:-1 </endperson202>,0.280925482665936 </endperson202>
