@RELATION @user-item

@ATTRIBUTE user STRING 
@ATTRIBUTE item STRING 
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE sentiment STRING
@ATTRIBUTE help_user STRING
@ATTRIBUTE value STRING
@ATTRIBUTE help_sentiment STRING
@ATTRIBUTE help_tfIdf STRING
@ATTRIBUTE help_sim STRING

@DATA
0,10,3,disc:-1 </endperson10>,2;;;;7;;;;28;;;;29;;;;53;;;;57</endperson10>,4;;;;4;;;;4;;;;4;;;;4;;;;4</endperson10>,movies:+1 character:+1 movie:+1 audiences:+1 actor:-1 ;;;;films:-1 disk:-1 disc:-1 ;;;;wi:+1 ;;;; ;;;;director:+1 motifs:-1 ;;;;character:+1 script:-1 </endperson10>,movies:0.09138436972256489 character:0.020889067793958178 movie:0.12915186035860662 audiences:0.01967658719811906 actor:0.04055775121819493 ;;;;films:0.029373184386537184 disk:0.03409815111923643 disc:0.025368741943085256 ;;;;wi:[0.0] ;;;; ;;;;director:0.016983644617187883 motifs:0.02125782693536746 ;;;;character:0.01875297911715707 script:0.03195379359214487 </endperson10>,0.3409474450841292;;;;0.38325313770585434;;;;0.5441052937822543;;;;0.5606215868648284;;;;0.5658247698714163;;;;0.5392069100769861 </endperson10>
0,11,4,character:+1 humour:+1 actors:-1 character:-1 </endperson11>,5;;;;7</endperson11>,4;;;;4</endperson11>, ;;;;scenes:+1 acting:+1 humour:-1 scenes:-1 </endperson11>, ;;;;scenes:0.014190983504784923 acting:0.016729268717750944 humour:[0.0|0.0] scenes:0.014190983504784923 </endperson11>,0.5235586049626277;;;;0.38325313770585434 </endperson11>
0,12,3,isnt:+1 actionfilms:+1 reviews:-1 credits:-1 </endperson12>,7;;;;42;;;;44;;;;53</endperson12>,4;;;;4;;;;4;;;;4</endperson12>,chemistry:+1 ending:-1 ;;;;acting:+1 films:-1 ;;;;fightscenes:+1 acting:+1 watch:-1 ;;;;actors:+1 movie:+1 charactercomedy:-1 strings:-1 stoners:-1 percussion:-1 </endperson12>,chemistry:0.0370023440766499 ending:0.017970079603249818 ;;;;acting:0.03229065524969079 films:0.07273561257354917 ;;;;fightscenes:[0.02124119991588429|0.014769992257191986|0.0] acting:0.053506341222455324 watch:0.021236696966226074 ;;;;actors:0.009551209763174074 movie:0.08067672076560921 charactercomedy:[0.023487626679304974|0.08554572792329648] strings:0.01851172462504474 stoners:[0.1407822391847248|0.0] percussion:0.04659846837154372 </endperson12>,0.38325313770585434;;;;0.2771229639782524;;;;0.5038697611685383;;;;0.5658247698714163 </endperson12>
0,13,4,humour:-1 </endperson13>,7;;;;45</endperson13>,4;;;;4</endperson13>,moments:+1 chemistry:-1 moments:-1 ;;;;actor:+1 comedy:+1 movie:-1 plot:-1 scenes:-1 mom:-1 </endperson13>,moments:0.05851118846206537 chemistry:0.016054263892141683 moments:0.05851118846206537 ;;;;actor:0.01784092473554431 comedy:0.05020107339324316 movie:0.1578125944489777 plot:0.03375270766252567 scenes:0.01290651743356215 mom:0.05469105676042841 </endperson13>,0.38325313770585434;;;;0.4877118807394252 </endperson13>
0,14,4, </endperson14>,2;;;;7;;;;12;;;;15;;;;26;;;;34;;;;43;;;;52</endperson14>,4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4</endperson14>,movies:-1 ;;;; ;;;;cinemas:+1 wi:+1 movie:-1 plot:-1 ;;;; ;;;;actors:+1 isnt:-1 credits:-1 ;;;;plot:+1 actionscenes:+1 ;;;;movie:-1 tanything:-1 ;;;; </endperson14>,movies:0.0704961203415381 ;;;; ;;;;cinemas:0.022034980324776663 wi:[0.0] movie:0.018795861278611263 plot:0.02010014515056538 ;;;; ;;;;actors:0.011935438927177838 isnt:[0.14161084435151325|0.0|0.0] credits:0.02175440732779587 ;;;;plot:0.07018692020016587 actionscenes:[0.061834144156235456|0.02183414166932625|0.0] ;;;;movie:0.1590031014861662 tanything:[0.0|0.015153157159874928] ;;;; </endperson14>,0.3409474450841292;;;;0.38325313770585434;;;;0.34385210366418417;;;;0.3778518147692358;;;;0.39769593612567444;;;;0.4046314364569883;;;;0.20773745570118418;;;;0.31023177692422843 </endperson14>
0,15,3,movie:+1 isnt:+1 truck:-1 video:-1 </endperson15>,19;;;;33;;;;35</endperson15>,4;;;;4;;;;4</endperson15>,actors:+1 wi:+1 movie:+1 scenes:-1 video:-1 sequences:-1 ;;;;movie:+1 ;;;;films:+1 character:+1 acting:+1 </endperson15>,actors:0.009754292536013487 wi:[0.0] movie:0.016478422204236197 scenes:0.016845854746191793 video:0.017725827107454364 sequences:0.01762129107875587 ;;;;movie:0.03868908354817784 ;;;;films:0.026747502492133576 character:0.016998798380974497 acting:0.031665162862382835 </endperson15>,0.6077750837088939;;;;0.43765465385472213;;;;0.3813810886979454 </endperson15>
0,16,4,plot:-1 acting:-1 </endperson16>,7;;;;42</endperson16>,4;;;;4</endperson16>,character:+1 ;;;;films:+1 </endperson16>,character:0.009356781133466562 ;;;;films:0.040760960161022416 </endperson16>,0.38325313770585434;;;;0.2771229639782524 </endperson16>
0,17,4,actors:+1 loveaffair:+1 character:-1 isnt:-1 </endperson17>,12;;;;53</endperson17>,4;;;;4</endperson17>,bourgeois:+1 actresses:+1 wi:+1 ;;;;isnt:+1 woodwinds:-1 </endperson17>,bourgeois:0.03430893142231594 actresses:0.0184688545951507 wi:[0.0] ;;;;isnt:[0.18324445830291441|0.0|0.0] woodwinds:0.02646359575839898 </endperson17>,0.34385210366418417;;;;0.5658247698714163 </endperson17>
0,18,4,character:-1 </endperson18>,4;;;;7;;;;12;;;;35;;;;42;;;;55</endperson18>,4;;;;4;;;;4;;;;4;;;;4;;;;4</endperson18>, ;;;;actress:+1 storyline:+1 ;;;;films:+1 wi:+1 studios:-1 movie:-1 script:-1 ;;;;films:+1 ;;;; ;;;;scenes:-1 </endperson18>, ;;;;actress:0.019830830241083963 storyline:0.05302285579309535 ;;;;films:0.02700015413669328 wi:[0.0] studios:0.02059197169910393 movie:0.07293828358348832 script:0.03289318348185404 ;;;;films:0.020872155313182567 ;;;; ;;;;scenes:0.013012539705034595 </endperson18>,0.502958109695087;;;;0.38325313770585434;;;;0.34385210366418417;;;;0.3813810886979454;;;;0.2771229639782524;;;;0.3677194984112284 </endperson18>
0,19,3,moments:-1 isnt:-1 </endperson19>,7;;;;12;;;;35;;;;43;;;;45</endperson19>,4;;;;4;;;;4;;;;4;;;;4</endperson19>, ;;;;turns:+1 ;;;;tanything:+1 ;;;;comedies:+1 characters:+1 tfeel:+1 character:-1 movie:-1 scenes:-1 ;;;;isnt:+1 </endperson19>, ;;;;turns:0.01451105373245463 ;;;;tanything:[0.0|0.016247799859416566] ;;;;comedies:0.04019519420780976 characters:0.0 tfeel:[0.0|0.09491931525916411] character:0.033149397011637556 movie:0.08539766542097928 scenes:0.0349207381511532 ;;;;isnt:[0.011859825670631513|0.0|0.0] </endperson19>,0.38325313770585434;;;;0.34385210366418417;;;;0.3813810886979454;;;;0.20773745570118418;;;;0.4877118807394252 </endperson19>
0,20,3,someones:-1 </endperson20>,56</endperson20>,4</endperson20>, </endperson20>, </endperson20>,0.2582117173623866 </endperson20>
0,21,5,wi:+1 </endperson21>,12;;;;53</endperson21>,4;;;;4</endperson21>,films:+1 wi:+1 character:+1 movie:+1 isnt:+1 director:+1 ;;;;performances:+1 stalker:-1 tfeel:-1 </endperson21>,films:0.01533890104881344 wi:[0.0] character:0.014622461651766304 movie:0.0452035041480938 isnt:[0.09620473109752248|0.0|0.0] director:0.017508263360861816 ;;;;performances:0.012131766392400692 stalker:0.027380012357247303 tfeel:[0.0|0.04220109334250066] </endperson21>,0.34385210366418417;;;;0.5658247698714163 </endperson21>
0,22,4,scenes:-1 </endperson22>,7;;;;26;;;;43</endperson22>,4;;;;4;;;;4</endperson22>,electro:-1 bonus:-1 ;;;;viewers:+1 ;;;;movie:+1 specialeffects:+1 </endperson22>,electro:0.058119245854439526 bonus:0.025694294363752406 ;;;;viewers:0.05307467731230612 ;;;;movie:0.19196904485194324 specialeffects:[0.029736245479662127|0.0658670380693616] </endperson22>,0.38325313770585434;;;;0.39769593612567444;;;;0.20773745570118418 </endperson22>
0,23,3,snothing:+1 storyline:-1 </endperson23>,7;;;;8;;;;42;;;;57</endperson23>,4;;;;4;;;;4;;;;4</endperson23>,plot:+1 ;;;;movie:+1 ;;;; ;;;;acting:+1 actors:-1 performance:-1 suspense:-1 acting:-1 </endperson23>,plot:0.014622574850470854 ;;;;movie:0.06055601124812576 ;;;; ;;;;acting:0.06413516018741353 actors:0.03780207961173227 performance:0.02806704994056578 suspense:0.0 acting:0.06413516018741353 </endperson23>,0.38325313770585434;;;;0.22504490608313543;;;;0.2771229639782524;;;;0.5392069100769861 </endperson23>
0,24,5,films:+1 isnt:+1 productions:+1 performances:+1 </endperson24>,</endperson24>,</endperson24>,</endperson24>,</endperson24>, </endperson24>
0,25,4,performance:+1 reviews:+1 scenes:+1 character:-1 toilethumour:-1 </endperson25>,7;;;;8;;;;13;;;;19;;;;21;;;;34</endperson25>,4;;;;4;;;;4;;;;4;;;;4;;;;4</endperson25>,scenes:+1 acting:+1 character:-1 watch:-1 scene:-1 ;;;;movie:+1 movie:-1 ;;;;movie:+1 movie:-1 watch:-1 ;;;;scenery:+1 moments:-1 ;;;;movie:+1 character:-1 ;;;;performances:+1 </endperson25>,scenes:0.03499982348625939 acting:0.013753367927319429 character:0.04429929436433117 watch:0.03275231685790373 scene:0.030372046849889076 ;;;;movie:0.10700063417546524 movie:0.10700063417546524 ;;;;movie:0.1140168364874582 movie:0.1140168364874582 watch:0.02726858446862656 ;;;;scenery:0.050603903302853546 moments:0.015617043918145683 ;;;;movie:0.038292185443742154 character:0.018580175047238738 ;;;;performances:0.03560911633776919 </endperson25>,0.38325313770585434;;;;0.22504490608313543;;;;0.5298897603349025;;;;0.6077750837088939;;;;0.3681936768218115;;;;0.4046314364569883 </endperson25>
0,26,3,scenes:+1 </endperson26>,1;;;;43;;;;53</endperson26>,4;;;;4;;;;4</endperson26>,movie:+1 cinematography:+1 genres:-1 ;;;;character:-1 movie:-1 ;;;;character:+1 isnt:+1 woodwinds:-1 budget:-1 </endperson26>,movie:0.031518665139179176 cinematography:0.02916250913073244 genres:0.029925023047290056 ;;;;character:0.027575800479791215 movie:0.17049424933518997 ;;;;character:0.01616493353917433 isnt:[0.1488942402403792|0.0|0.0] woodwinds:0.026110596177855046 budget:0.017172863331971787 </endperson26>,0.2233098223266876;;;;0.20773745570118418;;;;0.5658247698714163 </endperson26>
0,27,3,performance:+1 </endperson27>,2;;;;12;;;;18;;;;21;;;;27</endperson27>,4;;;;4;;;;4;;;;4;;;;4</endperson27>,performance:+1 scenes:+1 scenes:-1 ;;;;star:+1 soundtrack:-1 ;;;;reviews:+1 rating:-1 ;;;;movie:+1 actress:-1 movie:-1 isnt:-1 ;;;; </endperson27>,performance:0.011855309297615867 scenes:0.027575861518228096 scenes:0.027575861518228096 ;;;;star:0.0 soundtrack:0.0167612140199499 ;;;;reviews:0.02670163148887808 rating:0.026639512690141778 ;;;;movie:0.08643907131549898 actress:0.02228514144300891 movie:0.08643907131549898 isnt:[0.11037880052373536|0.0|0.0] ;;;; </endperson27>,0.3409474450841292;;;;0.34385210366418417;;;;0.35591186807137176;;;;0.3681936768218115;;;;0.28165527203963947 </endperson27>
0,28,3,films:+1 character:+1 films:-1 arent:-1 </endperson28>,2;;;;29;;;;43</endperson28>,4;;;;4;;;;4</endperson28>,performance:+1 movie:+1 movie:-1 watch:-1 ;;;;cast:-1 scenes:-1 ;;;;character:+1 performance:+1 movie:+1 movie:-1 humour:-1 </endperson28>,performance:0.011069822092168302 movie:0.22668455224778347 movie:0.22668455224778347 watch:0.008031779179717799 ;;;;cast:0.03965994378821953 scenes:0.019641653933167524 ;;;;character:0.005437282918158205 performance:0.022162360878332028 movie:0.19049834405803986 movie:0.19049834405803986 humour:[0.0|0.0] </endperson28>,0.3409474450841292;;;;0.5606215868648284;;;;0.20773745570118418 </endperson28>
0,29,3,character:+1 reviews:+1 acting:+1 character:-1 </endperson29>,2;;;;7</endperson29>,4;;;;4</endperson29>,character:+1 movies:-1 cinemas:-1 ;;;;acting:+1 watch:-1 bonus:-1 </endperson29>,character:0.031794004764782044 movies:0.015454522352948405 cinemas:0.02560558889370244 ;;;;acting:0.013656516928106426 watch:0.010840558520365381 bonus:0.046356629878969546 </endperson29>,0.3409474450841292;;;;0.38325313770585434 </endperson29>
0,30,3,isnt:+1 isnt:-1 </endperson30>,7;;;;26;;;;29;;;;42</endperson30>,4;;;;4;;;;4;;;;4</endperson30>,films:+1 actors:-1 character:-1 ;;;;movies:+1 movie:+1 scenes:+1 movie:-1 ;;;;specialeffects:+1 ;;;;scenes:+1 ending:-1 </endperson30>,films:0.02167970619021675 actors:0.025212745489908497 character:0.02066710459759617 ;;;;movies:0.032784694868932866 movie:0.07722335060263637 scenes:0.08683978746612096 movie:0.07722335060263637 ;;;;specialeffects:[0.0416665855061268|0.04614662223631111] ;;;;scenes:0.042818264724509184 ending:0.01672902325289991 </endperson30>,0.38325313770585434;;;;0.39769593612567444;;;;0.5606215868648284;;;;0.2771229639782524 </endperson30>
0,31,2,specialeffects:+1 isnt:-1 </endperson31>,7;;;;43</endperson31>,4;;;;4</endperson31>,chemistry:+1 films:+1 storyline:+1 watch:-1 camera:-1 ;;;;specialeffects:+1 character:-1 movie:-1 </endperson31>,chemistry:0.021696359553582855 films:0.013427714169479226 storyline:0.021215975045129138 watch:0.01261863238213289 camera:0.08030456283550501 ;;;;specialeffects:[0.06163908735572915|0.06826658927397729] character:0.0 movie:0.20891064694067804 </endperson31>,0.38325313770585434;;;;0.20773745570118418 </endperson31>
0,32,4,isnt:+1 </endperson32>,7;;;;26;;;;53;;;;56</endperson32>,4;;;;4;;;;4;;;;4</endperson32>,moments:-1 watch:-1 bonus:-1 ;;;;actor:+1 character:+1 films:-1 isnt:-1 ;;;;character:+1 characterisation:+1 script:+1 score:-1 character:-1 ;;;;chemistry:+1 soundtrack:+1 character:+1 moments:+1 tfeel:+1 storyline:+1 </endperson32>,moments:0.018331776630498953 watch:0.023402995041693558 bonus:0.050038195779721774 ;;;;actor:0.011772772674915617 character:0.040423386264875155 films:0.00848079258802482 isnt:[0.1223394326624318|0.0|0.0] ;;;;character:0.0 characterisation:[0.0|0.0|0.0|0.0] script:0.025959280337364044 score:0.017765123187362206 character:0.0 ;;;;chemistry:0.020190141633099446 soundtrack:0.020441923852747696 character:0.023823788507918935 moments:0.0367923808312484 tfeel:[0.0|0.013643311166456114] storyline:0.019743106671309015 </endperson32>,0.38325313770585434;;;;0.39769593612567444;;;;0.5658247698714163;;;;0.2582117173623866 </endperson32>
0,33,4, </endperson33>,26;;;;42;;;;60</endperson33>,4;;;;4;;;;4</endperson33>,performance:+1 tshow:+1 credits:-1 ;;;;films:+1 performance:+1 scenery:+1 moments:-1 ;;;;wi:+1 watch:-1 </endperson33>,performance:0.03285389510711972 tshow:[0.0|0.011525556044898893] credits:0.017922646482027998 ;;;;films:0.010396062410595824 performance:0.026930099335876118 scenery:0.024796899395634526 moments:0.015305312105188032 ;;;;wi:[0.0] watch:0.03784127492926108 </endperson33>,0.39769593612567444;;;;0.2771229639782524;;;;0.5514526891346746 </endperson33>
0,34,3,comics:+1 </endperson34>,2;;;;7;;;;8;;;;11;;;;53;;;;57</endperson34>,5;;;;4;;;;4;;;;4;;;;4;;;;4</endperson34>,movie:+1 characters:+1 movies:-1 character:-1 movie:-1 ;;;;characters:+1 films:-1 disk:-1 bonus:-1 scenes:-1 ;;;;movies:+1 films:+1 cast:+1 movie:+1 scenes:+1 specialeffects:+1 performances:+1 films:-1 ;;;;movie:+1 actor:-1 character:-1 movie:-1 watch:-1 ;;;;character:-1 strings:-1 brass:-1 pyrotechnics:-1 turns:-1 ;;;;films:+1 performance:+1 films:-1 isnt:-1 </endperson34>,movie:0.1260847001763303 characters:0.007542218206074458 movies:0.08396623998176651 character:0.03598761920476263 movie:0.1260847001763303 ;;;;characters:0.03038973373715393 films:0.010140594443400113 disk:0.14126171022645867 bonus:0.020375290800749225 scenes:0.02036701753482063 ;;;;movies:0.04395498378755708 films:0.03161915592112777 cast:0.03205740348313235 movie:0.010353462606041336 scenes:0.010584322031551264 specialeffects:[0.012830114599161368|0.028419245036002305] performances:0.033082213026844054 films:0.03161915592112777 ;;;;movie:0.16873214015340773 actor:0.034063203522407944 character:0.035088166690058556 movie:0.16873214015340773 watch:0.005764921289687213 ;;;;character:0.006852763482216124 strings:0.016202974302438302 brass:0.03896273453811385 pyrotechnics:0.02646111550215481 turns:0.012319252252620759 ;;;;films:0.05651700316758873 performance:0.0549009007938646 films:0.05651700316758873 isnt:[0.07089429777104275|0.0|0.0] </endperson34>,0.3409474450841292;;;;0.38325313770585434;;;;0.22504490608313543;;;;0.48182112168765834;;;;0.5658247698714163;;;;0.5392069100769861 </endperson34>
0,35,3,performance:+1 movie:+1 isnt:+1 </endperson35>,6;;;;29</endperson35>,4;;;;4</endperson35>, ;;;; </endperson35>, ;;;; </endperson35>,0.36935105999108786;;;;0.5606215868648284 </endperson35>
0,36,5,comedy:+1 </endperson36>,5;;;;7;;;;26</endperson36>,4;;;;4;;;;4</endperson36>,soundtrack:+1 character:-1 moments:-1 storyline:-1 mom:-1 ;;;;chemistry:+1 soundtrack:+1 character:+1 performance:+1 scenes:+1 ;;;;cast:+1 isnt:+1 plot:+1 storyline:+1 directing:+1 watch:-1 comedy:-1 </endperson36>,soundtrack:0.021147213099747927 character:0.02464575917851139 moments:0.05709269270521047 storyline:0.040848570519756336 mom:0.0 ;;;;chemistry:0.019997005054767862 soundtrack:0.020246378754591374 character:0.047191785760983915 performance:0.01602947345623459 scenes:0.012428370815207406 ;;;;cast:0.06812605979879936 isnt:[0.10235009869411046|0.0|0.0] plot:0.020167901901251176 storyline:0.030333886939829774 directing:0.023282373277271468 watch:0.036083391614166946 comedy:0.11248545601756156 </endperson36>,0.5235586049626277;;;;0.38325313770585434;;;;0.39769593612567444 </endperson36>
0,37,4,casting:+1 watch:-1 </endperson37>,1;;;;33;;;;43</endperson37>,4;;;;5;;;;4</endperson37>,sequences:+1 performances:+1 ;;;; ;;;;movies:+1 </endperson37>,sequences:0.029113387554107462 performances:0.043496026186030594 ;;;; ;;;;movies:0.03843476293992659 </endperson37>,0.2233098223266876;;;;0.43765465385472213;;;;0.20773745570118418 </endperson37>
0,38,2,character:+1 squeak:-1 </endperson38>,45</endperson38>,4</endperson38>,movie:+1 </endperson38>,movie:0.11987448832863594 </endperson38>,0.4877118807394252 </endperson38>
0,39,3,performances:+1 </endperson39>,30;;;;35;;;;43</endperson39>,5;;;;4;;;;4</endperson39>,actor:+1 films:+1 movie:+1 isnt:+1 scenes:+1 disc:+1 character:-1 watch:-1 ;;;;character:-1 isnt:-1 ;;;;character:+1 performance:+1 movie:+1 blockbuster:+1 movie:-1 watch:-1 </endperson39>,actor:0.008187709160044961 films:0.011796416201149481 movie:0.01738192804635606 isnt:[0.19606412930603376|0.0|0.0] scenes:0.02961584463290791 disc:0.030564636900317143 character:0.0 watch:0.011085627649662356 ;;;;character:0.006528053314565484 isnt:[0.20186335616878454|0.0|0.0] ;;;;character:0.04649162746149158 performance:0.04737495919982255 movie:0.1736653262768913 blockbuster:0.01587878678511944 movie:0.1736653262768913 watch:0.03437320019897298 </endperson39>,0.21699326196950475;;;;0.3813810886979454;;;;0.20773745570118418 </endperson39>
0,40,4,actress:-1 </endperson40>,7;;;;26;;;;31;;;;45;;;;60</endperson40>,4;;;;4;;;;4;;;;4;;;;3</endperson40>,character:-1 sexreferences:-1 ;;;;acting:+1 ;;;;wi:+1 films:-1 ;;;;isnt:-1 ;;;;films:+1 character:-1 </endperson40>,character:0.02099869699404769 sexreferences:[0.020111466881006925|0.0|0.0] ;;;;acting:0.02135028530619253 ;;;;wi:[0.0] films:0.009942116266740833 ;;;;isnt:[0.1426716022361759|0.0|0.0] ;;;;films:0.07484444593840123 character:0.0 </endperson40>,0.38325313770585434;;;;0.39769593612567444;;;;0.3808477167791743;;;;0.4877118807394252;;;;0.5514526891346746 </endperson40>
0,41,4,halfhour:+1 isnt:+1 films:-1 </endperson41>,8;;;;22;;;;42</endperson41>,4;;;;4;;;;4</endperson41>,movie:+1 plot:+1 specialeffects:+1 runtime:+1 ;;;;movie:+1 acting:+1 ;;;;actor:+1 movie:+1 </endperson41>,movie:0.0512229056345212 plot:0.041083027123338375 specialeffects:[0.01586898447407962|0.017575234997155176] runtime:0.0 ;;;;movie:0.07195364708872105 acting:0.04335754701376925 ;;;;actor:0.05023186279382918 movie:0.02369748790941216 </endperson41>,0.22504490608313543;;;;0.5120719845859063;;;;0.2771229639782524 </endperson41>
0,42,4,seventies:+1 performance:+1 isnt:+1 </endperson42>,12;;;;30</endperson42>,4;;;;4</endperson42>,soundtrack:+1 isnt:+1 films:-1 ;;;;actors:+1 performance:+1 isnt:-1 </endperson42>,soundtrack:0.01294019950709354 isnt:[0.04961077075686033|0.0|0.0] films:0.01581990188868051 ;;;;actors:0.008882145508687494 performance:0.049460695839799604 isnt:[0.15807648124370013|0.0|0.0] </endperson42>,0.34385210366418417;;;;0.21699326196950475 </endperson42>
0,43,4,performances:+1 isnt:-1 </endperson43>,13;;;;26</endperson43>,4;;;;4</endperson43>,movie:+1 movie:-1 ;;;; </endperson43>,movie:0.1739580016896984 movie:0.1739580016896984 ;;;; </endperson43>,0.5298897603349025;;;;0.39769593612567444 </endperson43>
0,44,4,extras:+1 character:-1 </endperson44>,5;;;;27;;;;31</endperson44>,4;;;;4;;;;4</endperson44>, ;;;;films:+1 isnt:+1 scenes:+1 performances:+1 ;;;;dancer:+1 plot:-1 </endperson44>, ;;;;films:0.012642220738791283 isnt:[0.21408651737873732|0.0|0.0] scenes:0.03808716533875621 performances:0.01984078768530399 ;;;;dancer:0.030945187685092912 plot:0.009882852777863311 </endperson44>,0.5235586049626277;;;;0.28165527203963947;;;;0.3808477167791743 </endperson44>
0,45,4,character:-1 disc:-1 </endperson45>,30</endperson45>,4</endperson45>,actors:+1 </endperson45>,actors:0.015518701729046827 </endperson45>,0.21699326196950475 </endperson45>
