@RELATION user-movie

@ATTRIBUTE user STRING
@ATTRIBUTE item STRING 
@ATTRIBUTE rating NUMERIC 
@ATTRIBUTE item_rating STRING
@ATTRIBUTE sentiment STRING

@DATA
309,514:1558,5,3, </endperson59>
309,564:1558,4,4, </endperson60>
7,241:650,5,3,movie:+1 </endperson61>
9,79:1279,4,4,character:-1 movie:-1 tfeel:-1 </endperson62>
9,384:1279,4,4,scenes:+1 movie:-1 </endperson63>
9,487:1279,4,5,films:+1 casting:+1 </endperson64>
9,585:1279,4,3,reviews:+1 sfilms:+1 characters:+1 stringarrangements:-1 </endperson65>
9,883:1279,3,3, </endperson66>
9,1001:1279,4,4,scenes:-1 </endperson67>
307,864:1066,3,5,acting:+1 </endperson68>
195,9:1284,5,4,cast:+1 films:+1 humour:-1 </endperson69>
195,128:1284,4,3,character:+1 movie:+1 acting:+1 movie:-1 </endperson70>
195,585:1284,4,4, </endperson71>
195,668:1284,3,2,movie:-1 moving:-1 </endperson72>
539,239:882,4,4,films:+1 acting:+1 </endperson73>
384,294:1207,4,4,performance:+1 </endperson74>
384,532:1207,4,5,character:-1 comedy:-1 scenes:-1 </endperson75>
184,0:137,4,3,performance:+1 isnt:+1 character:-1 </endperson76>
184,188:137,4,4,character:+1 performance:+1 script:+1 isnt:-1 </endperson77>
184,519:137,3,2,acting:+1 </endperson78>
183,185:83,4,2,comedy:+1 budget:+1 nudity:-1 </endperson79>
532,385:2167,3,5, </endperson80>
532,656:2167,2,2,subtitles:+1 </endperson81>
596,723:1644,3,5, </endperson82>
8,412:1229,4,3, </endperson83>
8,723:1229,2,4, </endperson84>
597,48:1623,4,5, </endperson85>
597,224:1623,3,2, </endperson86>
586,94:2028,4,3, </endperson87>
585,79:1207,4,4,films:+1 movie:+1 </endperson88>
128,237:806,5,3,budget:-1 </endperson89>
79,70:1735,4,5,movie:+1 </endperson90>
79,1000:1735,2,4,acting:+1 </endperson91>
790,714:3014,4,5, </endperson92>
558,2:500,4,5,movie:+1 </endperson93>
746,8:1238,4,3,moments:+1 tfeel:+1 character:-1 budget:-1 </endperson94>
139,392:102,4,4,comedymoments:+1 character:-1 humour:-1 </endperson95>
335,980:2605,2,5, </endperson96>
8,358:811,4,4,comedyfilm:+1 comedy:+1 movie:-1 storyline:-1 </endperson97>
192,382:946,5,5, </endperson98>
192,384:946,4,4,character:+1 wi:+1 movie:+1 character:-1 </endperson99>
192,994:946,4,5,cast:+1 performance:+1 comedy:+1 </endperson100>
9,5:732,3,4, </endperson101>
9,7:732,3,4,soundtrack:+1 ending:+1 reviews:+1 character:-1 watch:-1 bonus:-1 </endperson102>
9,8:732,4,5,films:+1 films:-1 character:-1 </endperson103>
9,77:732,2,4, </endperson104>
9,89:732,3,5,officer:+1 </endperson105>
9,139:732,3,5,movie:+1 scenes:-1 </endperson106>
9,140:732,3,1,isnt:-1 </endperson107>
9,141:732,3,5,character:-1 </endperson108>
9,157:732,4,5,comedy:+1 arent:-1 acting:-1 </endperson109>
9,167:732,3,4,watch:+1 scenes:+1 character:-1 </endperson110>
9,169:732,4,5,extras:+1 </endperson111>
9,238:732,3,5,character:+1 movie:+1 comedy:+1 watch:-1 </endperson112>
9,239:732,4,5, </endperson113>
9,244:732,4,4,actors:+1 character:+1 comedy:+1 roles:-1 scenes:-1 </endperson114>
9,380:732,3,4,specialeffects:+1 isnt:-1 </endperson115>
9,406:732,4,5, </endperson116>
9,528:732,3,5, </endperson117>
9,558:732,4,5,arent:+1 werent:+1 movie:+1 actors:-1 performances:-1 </endperson118>
9,585:732,0,4,character:+1 percussion:+1 movie:-1 brass:-1 </endperson119>
9,592:732,4,5,performances:+1 </endperson120>
9,614:732,3,5,acting:+1 </endperson121>
9,629:732,3,4, </endperson122>
9,634:732,4,4,actors:+1 </endperson123>
9,642:732,3,5,scenes:-1 </endperson124>
9,686:732,2,5,movie:+1 </endperson125>
9,690:732,3,5,soundtrack:+1 specialeffects:+1 scenes:+1 </endperson126>
9,873:732,4,5,movie:+1 actors:-1 </endperson127>
7,488:1081,5,4,movie:+1 director:+1 directing:+1 </endperson128>
7,588:1081,4,5,films:+1 scenes:+1 </endperson129>
869,278:1582,4,4,films:+1 movie:+1 movie:-1 </endperson130>
585,4:701,4,3, </endperson131>
585,128:701,4,4, </endperson132>
824,274:1507,4,5,wi:+1 scenes:+1 </endperson133>
824,901:1507,4,5,scenes:+1 </endperson134>
211,374:2380,4,5,performances:+1 character:-1 </endperson135>
185,648:1071,3,4,watch:-1 </endperson136>
74,9:1280,4,3, </endperson137>
74,133:1280,4,2,films:+1 character:+1 isnt:+1 menace:+1 </endperson138>
74,237:1280,4,4, </endperson139>
74,358:1280,4,4, </endperson140>
74,1001:1280,4,3,plot:+1 movie:-1 plot:-1 scenes:-1 </endperson141>
2,7:549,4,4,screen:+1 scene:-1 </endperson142>
2,22:549,4,5, </endperson143>
2,128:549,4,4, </endperson144>
2,151:549,3,5, </endperson145>
2,242:549,4,5,performance:+1 </endperson146>
2,954:549,4,5,character:+1 character:-1 plot:-1 scenes:-1 </endperson147>
457,912:2759,3,4, </endperson148>
7,559:820,4,2,franchise:+1 </endperson149>
7,585:820,4,2,character:-1 </endperson150>
936,939:2169,3,4, </endperson151>
322,106:1490,4,3,cast:+1 films:+1 </endperson152>
0,27:14,4,5, </endperson153>
447,811:2521,2,5, </endperson154>
471,447:2295,4,5,cast:+1 </endperson155>
334,807:1464,2,5, </endperson156>
79,7:828,4,5,actors:+1 storyline:+1 </endperson157>
79,382:828,4,3, </endperson158>
923,746:170,4,5, </endperson159>
393,7:1131,4,4,mutants:-1 </endperson160>
393,394:1131,4,5,movie:+1 specialeffects:+1 </endperson161>
393,579:1131,4,5,actor:+1 movie:+1 performances:+1 </endperson162>
0,119:189,4,4, </endperson163>
0,242:189,4,5, </endperson164>
7,384:986,4,4,movie:+1 character:-1 </endperson165>
9,122:1295,3,5,actress:+1 </endperson166>
9,567:1295,4,5,soundtrack:+1 acting:+1 </endperson167>
140,488:1273,4,5,films:+1 </endperson168>
211,719:2587,4,3, </endperson169>
185,250:1548,4,5,performance:+1 </endperson170>
185,632:1548,3,5,movie:+1 </endperson171>
37,473:1555,3,5,plot:+1 acting:+1 </endperson172>
257,218:2601,4,5, </endperson173>
257,696:2601,4,5, </endperson174>
8,1:359,4,3, </endperson175>
8,196:359,4,4, </endperson176>
389,0:150,4,3,isnt:+1 isnt:-1 </endperson177>
894,447:1255,4,3,scores:+1 </endperson178>
341,691:237,4,4,character:+1 </endperson179>
413,33:685,4,5,character:+1 </endperson180>
413,43:685,4,2,cringe:+1 </endperson181>
934,920:1508,3,5,comedy:-1 </endperson182>
237,96:76,4,5, </endperson183>
237,124:76,4,3,actors:+1 wi:+1 movie:+1 scenes:-1 video:-1 sequences:-1 </endperson184>
237,244:76,4,2,films:+1 character:+1 acting:+1 </endperson185>
184,0:40,4,5,subtitles:+1 isnt:+1 actor:-1 character:-1 watch:-1 </endperson186>
184,399:40,3,4,movie:+1 movie:-1 </endperson187>
184,501:40,4,4,movie:+1 </endperson188>
122,120:1020,4,3, </endperson189>
126,81:1910,4,4,movie:+1 </endperson190>
126,125:1910,4,5, </endperson191>
126,133:1910,5,2,arent:+1 fairytale:+1 </endperson192>
126,585:1910,4,3,character:+1 movie:+1 movie:-1 </endperson193>
126,1000:1910,3,4,isnt:+1 character:-1 movie:-1 </endperson194>
126,7:988,4,4,moments:-1 </endperson195>
126,122:988,4,4,comedy:+1 comedy:-1 </endperson196>
126,124:988,4,3,genre:+1 </endperson197>
126,157:988,4,4,chemistry:+1 actor:+1 comedy:+1 performances:+1 comedy:-1 </endperson198>
396,5:735,4,5,hero:+1 watch:-1 </endperson199>
396,7:735,4,3,ending:+1 character:+1 </endperson200>
396,81:735,4,3, </endperson201>
396,157:735,4,4,comedy:+1 scenes:+1 watch:-1 </endperson202>
396,382:735,4,5,movie:+1 comedy:+1 movie:-1 </endperson203>
500,81:748,4,5,films:+1 soundtrack:+1 scene:+1 </endperson204>
500,199:748,4,5,scene:-1 </endperson205>
188,174:2459,4,5, </endperson206>
188,946:2459,3,3, </endperson207>
8,447:1275,4,4,cast:+1 character:+1 villains:+1 comedy:+1 </endperson208>
81,79:987,4,4,movies:+1 movie:+1 thalf:-1 </endperson209>
8,7:69,4,3,moments:+1 chemistry:-1 moments:-1 </endperson210>
8,585:69,4,2,wi:+1 </endperson211>
7,140:503,3,1,movie:+1 scene:-1 </endperson212>
566,278:2776,4,4,films:+1 </endperson213>
566,437:2776,3,5, </endperson214>
7,128:893,4,3,movie:+1 </endperson215>
7,242:893,4,5,specialeffects:+1 character:-1 </endperson216>
7,585:893,4,3,tlook:+1 character:-1 percussion:-1 </endperson217>
7,901:893,4,3,films:+1 </endperson218>
694,878:1209,3,4,movie:+1 isnt:-1 </endperson219>
676,863:1692,4,5,movie:+1 plot:-1 </endperson220>
597,615:2464,4,5,moments:+1 plot:+1 performances:+1 scenes:-1 </endperson221>
382,7:259,4,5, </endperson222>
382,22:259,4,5,performance:+1 isnt:+1 </endperson223>
382,130:259,4,4,performances:+1 </endperson224>
185,21:694,4,4,viewers:+1 comedy:+1 movies:-1 </endperson225>
185,354:694,4,5,scenes:-1 </endperson226>
241,120:2143,4,5,films:-1 script:-1 </endperson227>
253,787:1464,4,5,films:+1 </endperson228>
416,8:873,4,3,movie:+1 knight:-1 </endperson229>
416,33:873,4,5, </endperson230>
416,245:873,4,3, </endperson231>
416,294:873,4,1, </endperson232>
416,557:873,4,5, </endperson233>
416,564:873,4,3,knight:-1 gravitas:-1 </endperson234>
416,585:873,4,3, </endperson235>
416,596:873,4,2,films:+1 cast:+1 cast:-1 </endperson236>
457,335:1477,4,4,actors:+1 films:-1 scenes:-1 </endperson237>
2,79:494,4,4,script:-1 </endperson238>
2,129:494,2,4,movie:-1 </endperson239>
2,401:494,4,4,performance:+1 </endperson240>
2,485:494,3,3,plot:+1 character:-1 hamradio:-1 scene:-1 </endperson241>
2,585:494,4,1,arent:+1 isnt:+1 villains:-1 performances:-1 </endperson242>
242,124:769,4,5,script:-1 </endperson243>
7,79:828,4,4,actor:+1 performance:+1 performance:-1 </endperson244>
7,382:828,4,3, </endperson245>
7,365:1071,4,5,comedy:+1 </endperson246>
7,577:1071,4,4,chemistry:+1 chickflick:+1 humour:+1 </endperson247>
11,184:222,4,4,actress:+1 </endperson248>
416,33:1524,4,5,movie:+1 </endperson249>
790,16:1391,3,4, </endperson250>
0,134:109,4,5, </endperson251>
0,138:109,4,5, </endperson252>
842,1038:684,2,3,acting:+1 </endperson253>
770,828:1716,3,5, </endperson254>
770,852:1716,3,5,scenes:+1 menus:+1 </endperson255>
901,970:697,3,4, </endperson256>
6,7:87,4,4, </endperson257>
6,8:87,4,4,movie:-1 </endperson258>
6,79:87,4,4,turns:+1 </endperson259>
6,242:87,4,3,plot:+1 snothing:+1 </endperson260>
6,244:87,5,4,tanything:+1 </endperson261>
6,384:87,4,3,comedies:+1 characters:+1 tfeel:+1 character:-1 movie:-1 scenes:-1 </endperson262>
6,883:87,3,4, </endperson263>
1030,831:1269,4,5, </endperson264>
1030,901:1269,3,3, </endperson265>
7,8:810,4,4,performance:+1 characters:+1 screentime:+1 </endperson266>
7,126:810,4,4,scenes:+1 plots:-1 </endperson267>
7,585:810,4,3,plot:+1 storyline:+1 gag:+1 prom:-1 </endperson268>
305,808:1614,4,5,character:-1 </endperson269>
142,156:969,5,5, </endperson270>
195,242:1870,4,4, </endperson271>
195,488:1870,4,5, </endperson272>
195,637:1870,4,5,acting:+1 </endperson273>
293,447:1571,2,4,cast:+1 audiences:+1 performances:+1 </endperson274>
471,986:2484,3,4, </endperson275>
309,677:1460,4,4, </endperson276>
153,585:1822,4,3,character:+1 director:+1 thalf:-1 </endperson277>
286,678:673,4,5,actors:+1 </endperson278>
6,2:486,4,1, </endperson279>
48,709:1630,2,5,specialeffects:+1 cast:-1 </endperson280>
248,210:1648,4,4, </endperson281>
248,222:1648,4,2,isnt:+1 moments:-1 tfeel:-1 </endperson282>
264,753:1525,4,4,snothing:+1 watch:-1 </endperson283>
231,79:199,4,2,horror:-1 </endperson284>
231,572:199,4,5,scenes:-1 </endperson285>
124,0:3,4,4,isnt:+1 </endperson286>
140,144:1304,2,1,wi:+1 cringe:+1 specialeffects:+1 sexscene:-1 </endperson287>
384,644:1648,4,5,cast:+1 moments:-1 </endperson288>
79,7:1033,4,4, </endperson289>
79,242:1033,4,4,character:-1 </endperson290>
186,9:1296,3,3, </endperson291>
186,561:1296,3,5,character:+1 scenes:+1 fans:+1 acting:+1 fans:-1 </endperson292>
186,901:1296,4,3, </endperson293>
186,958:1296,4,5,lightsaber:+1 </endperson294>
922,852:2066,4,4, </endperson295>
1019,328:1468,3,5,cast:+1 </endperson296>
157,242:837,4,5,moments:-1 plot:-1 </endperson297>
157,362:837,4,5,character:+1 animation:+1 character:-1 </endperson298>
157,584:837,4,5, </endperson299>
282,839:1273,4,5,movies:+1 soundtrack:+1 actors:+1 wi:+1 </endperson300>
409,535:2551,4,4,actresses:+1 watch:-1 </endperson301>
195,0:312,4,5,actor:+1 acting:+1 </endperson302>
195,585:312,4,4, </endperson303>
195,901:312,4,5, </endperson304>
16,347:11,4,5,films:+1 cast:+1 character:+1 </endperson305>
122,553:2158,4,1, </endperson306>
435,928:627,4,4, </endperson307>
254,465:1301,4,4,character:-1 </endperson308>
254,602:1301,4,3, </endperson309>
104,8:348,4,4, </endperson310>
242,79:1115,4,3,character:+1 actor:-1 gags:-1 </endperson311>
413,668:2880,2,5,character:-1 </endperson312>
7,242:601,4,3,cast:-1 </endperson313>
464,809:1505,4,2,director:-1 </endperson314>
819,3:665,4,5,actor:+1 wi:+1 </endperson315>
249,259:2145,4,5,acting:+1 </endperson316>
1,367:362,4,4,specialeffects:+1 snothing:-1 </endperson317>
1,585:362,4,3,fare:+1 </endperson318>
1,706:362,3,4,scenes:-1 </endperson319>
384,2:520,4,4, </endperson320>
384,79:520,4,4,soundtrack:+1 </endperson321>
79,11:1327,5,5,scenes:+1 </endperson322>
79,87:1327,4,4,movie:-1 </endperson323>
79,142:1327,5,4,director:+1 character:-1 </endperson324>
79,235:1327,4,5, </endperson325>
79,242:1327,4,4, </endperson326>
79,573:1327,3,4,character:-1 </endperson327>
79,586:1327,4,4,character:+1 movie:-1 </endperson328>
79,873:1327,4,5,explosions:+1 movie:-1 </endperson329>
5,0:72,4,4, </endperson330>
5,8:72,4,4,movie:+1 </endperson331>
5,75:72,4,4,performances:+1 movie:-1 isnt:-1 </endperson332>
5,103:72,4,4, </endperson333>
5,389:72,4,2,storyline:-1 </endperson334>
5,549:72,4,4,character:+1 </endperson335>
5,585:72,4,3,moments:+1 isnt:+1 strings:-1 screen:-1 shots:-1 stringarrangements:-1 </endperson336>
242,342:1194,4,4,acting:+1 movie:-1 scenes:-1 </endperson337>
847,852:1459,4,4, </endperson338>
7,141:750,4,5, </endperson339>
7,242:750,4,4, </endperson340>
7,489:750,4,2,actor:+1 films:-1 </endperson341>
7,586:750,4,5,actors:+1 </endperson342>
139,0:164,4,2,isnt:-1 </endperson343>
466,473:2338,4,5,specialeffects:-1 </endperson344>
438,29:1498,4,5, </endperson345>
438,272:1498,4,5,movie:-1 </endperson346>
438,311:1498,4,5,movie:+1 </endperson347>
438,620:1498,4,5,films:+1 </endperson348>
438,835:1498,4,4,films:-1 </endperson349>
364,644:1753,4,4,character:+1 </endperson350>
257,175:49,4,5,movie:+1 movies:-1 </endperson351>
257,493:49,5,5,tanything:+1 character:-1 movie:-1 taxi:-1 </endperson352>
757,793:2033,4,5, </endperson353>
757,927:2033,3,5,cast:+1 movie:+1 isnt:+1 isnt:-1 </endperson354>
8,59:1257,4,4,character:+1 performance:+1 </endperson355>
8,210:1257,4,4,adventure:-1 scene:-1 </endperson356>
8,412:1257,4,2,films:+1 </endperson357>
630,792:210,3,4,soundtrack:+1 movie:-1 </endperson358>
284,829:878,4,2,specialeffects:+1 </endperson359>
706,615:3000,4,3,films:+1 movie:-1 </endperson360>
142,589:963,5,3,movie:-1 </endperson361>
147,242:1566,4,3, </endperson362>
147,644:1566,4,5,character:+1 character:-1 </endperson363>
147,782:1566,4,4,viewers:-1 </endperson364>
8,224:888,4,5,isnt:-1 </endperson365>
8,584:888,4,3,movie:+1 </endperson366>
811,1035:423,4,4,watch:-1 </endperson367>
49,48:1628,4,2,comedy:+1 films:-1 </endperson368>
266,307:1066,3,5,movie:+1 movie:-1 </endperson369>
266,604:1066,4,5,acting:+1 scenes:-1 </endperson370>
283,899:88,4,5, </endperson371>
301,303:857,4,5, </endperson372>
301,433:857,4,5,scenes:+1 twist:+1 </endperson373>
747,852:425,3,5, </endperson374>
185,11:1242,4,4,plotholes:+1 </endperson375>
278,890:1255,4,3,snothing:+1 character:-1 </endperson376>
278,901:1255,4,4,turns:+1 </endperson377>
637,79:1870,4,3, </endperson378>
637,195:1870,4,4,character:+1 disc:+1 </endperson379>
637,242:1870,4,4, </endperson380>
637,488:1870,5,5, </endperson381>
7,244:1053,4,3,soundtrack:+1 viewers:+1 </endperson382>
7,662:1053,3,5,films:+1 storyline:+1 </endperson383>
7,1048:1053,3,5, </endperson384>
465,441:1518,4,4,performances:+1 films:-1 plot:-1 budget:-1 </endperson385>
142,120:1768,4,2,actors:+1 </endperson386>
0,235:123,4,2,character:+1 </endperson387>
384,79:1824,4,4,wi:+1 tlook:+1 </endperson388>
384,157:1824,4,4, </endperson389>
328,981:1522,4,4,movie:+1 scenes:+1 scenes:-1 </endperson390>
2,6:521,4,4, </endperson391>
2,157:521,4,5,chemistry:+1 cast:+1 performances:-1 </endperson392>
2,188:521,4,4,scenes:+1 twists:+1 </endperson393>
2,614:521,4,5,wi:+1 movie:-1 isnt:-1 humour:-1 </endperson394>
403,8:976,4,5,movie:-1 </endperson395>
403,209:976,4,5, </endperson396>
614,8:732,4,5,films:+1 films:-1 character:-1 </endperson397>
614,558:732,5,5,arent:+1 werent:+1 movie:+1 actors:-1 performances:-1 </endperson398>
7,585:792,4,3,cast:-1 </endperson399>
746,315:1516,4,5, </endperson400>
746,333:1516,4,3,movie:+1 movie:-1 </endperson401>
549,140:1273,3,4, </endperson402>
488,242:1192,4,5,isnt:+1 plot:+1 </endperson403>
237,128:893,4,3,movie:+1 </endperson404>
237,585:893,5,3,tlook:+1 character:-1 percussion:-1 </endperson405>
408,188:1451,4,4,character:+1 script:+1 character:-1 performance:-1 </endperson406>
408,412:1451,4,4,wi:+1 performances:+1 </endperson407>
314,465:390,4,4,scenes:+1 performances:+1 comedy:-1 </endperson408>
314,475:390,4,5, </endperson409>
412,597:2761,4,4,watch:+1 acting:+1 isnt:-1 </endperson410>
500,753:379,3,3,movie:+1 watch:+1 scenes:+1 scenes:-1 </endperson411>
958,411:1296,4,4,films:-1 </endperson412>
321,3:418,4,5,screens:+1 </endperson413>
403,175:2344,4,3,padding:+1 plot:+1 scenes:+1 plot:-1 </endperson414>
396,382:2892,5,5,watch:-1 </endperson415>
359,0:0,4,3,performance:+1 specialeffects:+1 isnt:-1 acting:-1 </endperson416>
359,120:0,4,4,actress:+1 </endperson417>
359,240:0,4,4,acting:+1 </endperson418>
359,384:0,4,3,sciencefiction:+1 movie:+1 isnt:+1 movie:-1 </endperson419>
586,994:452,4,4,character:-1 </endperson420>
105,585:1793,5,4,moments:+1 performances:+1 strings:-1 </endperson421>
79,91:1055,2,1,arent:+1 </endperson422>
79,236:1055,4,4,actors:+1 script:+1 </endperson423>
79,377:1055,3,5,comedy:+1 </endperson424>
79,573:1055,4,4,reviews:+1 </endperson425>
585,384:41,4,4,movie:+1 character:-1 performance:-1 </endperson426>
52,209:165,4,3,movie:+1 </endperson427>
116,108:442,4,5,watch:+1 scenes:-1 </endperson428>
116,120:442,4,4,actress:+1 </endperson429>
8,497:259,4,5, </endperson430>
104,44:1592,2,4,performances:+1 character:-1 </endperson431>
104,218:1592,4,4, </endperson432>
104,267:1592,4,4,actors:+1 character:-1 isnt:-1 accent:-1 </endperson433>
7,111:591,3,5,humour:+1 acting:+1 actors:-1 </endperson434>
7,628:591,3,5,character:-1 </endperson435>
7,992:591,3,4,movie:+1 </endperson436>
419,909:1439,4,5,films:+1 moments:+1 movie:+1 scenes:+1 performances:+1 </endperson437>
124,7:925,4,3,actors:+1 performance:+1 plot:+1 characters:+1 storyline:+1 </endperson438>
124,125:925,4,4,scenes:+1 scene:-1 </endperson439>
124,585:925,4,3,robot:-1 plot:-1 </endperson440>
103,7:998,4,5,storyline:+1 scene:+1 storyline:-1 </endperson441>
1,167:356,4,5,character:-1 </endperson442>
1,273:356,5,5, </endperson443>
1,347:356,4,5,films:+1 character:+1 </endperson444>
1,585:356,4,3,character:+1 isnt:+1 pianos:-1 </endperson445>
1,698:356,4,4, </endperson446>
1,901:356,4,4,performances:+1 character:-1 animation:-1 </endperson447>
1,999:356,4,4,movie:+1 cast:-1 movie:-1 </endperson448>
382,8:1195,4,5,spotter:+1 specialeffects:+1 </endperson449>
382,94:1195,3,4, </endperson450>
511,585:443,4,1,character:-1 scenes:-1 performances:-1 </endperson451>
278,862:1682,4,3,moments:-1 </endperson452>
278,901:1682,4,4,hollywood:-1 </endperson453>
596,195:649,4,4,familyfilm:+1 soundtrack:+1 character:-1 scene:-1 </endperson454>
596,371:649,4,5,moments:+1 viewers:-1 </endperson455>
7,139:732,4,5,movie:+1 scenes:-1 </endperson456>
7,141:732,4,5,character:-1 </endperson457>
7,167:732,4,4,watch:+1 scenes:+1 character:-1 </endperson458>
7,169:732,5,5,extras:+1 </endperson459>
7,242:732,4,5, </endperson460>
7,528:732,3,5, </endperson461>
7,585:732,4,4,character:+1 percussion:+1 movie:-1 brass:-1 </endperson462>
7,592:732,4,5,performances:+1 </endperson463>
432,964:88,3,2,plot:-1 </endperson464>
142,0:125,5,4,isnt:+1 </endperson465>
188,473:1518,4,3,movies:-1 tanything:-1 </endperson466>
1008,804:1456,3,3, </endperson467>
532,8:1207,4,4,movie:+1 isnt:+1 </endperson468>
532,294:1207,4,4,performance:+1 </endperson469>
532,382:1207,4,5,films:+1 movie:+1 actors:-1 character:-1 </endperson470>
532,384:1207,4,5,movies:+1 character:+1 movie:+1 storyline:+1 movie:-1 </endperson471>
71,129:1749,2,4,movies:+1 </endperson472>
71,347:1749,3,5,actors:+1 cast:+1 character:+1 </endperson473>
71,539:1749,4,4, </endperson474>
71,952:1749,2,4,movie:-1 </endperson475>
473,441:2430,4,5,films:+1 performance:+1 </endperson476>
473,466:2430,4,5,acting:+1 plot:-1 explosions:-1 </endperson477>
473,566:2430,3,3,films:+1 villain:-1 </endperson478>
473,1015:2430,4,4, </endperson479>
81,237:1193,4,3,movie:+1 screen:-1 </endperson480>
7,2:475,4,4,movie:+1 movies:-1 movie:-1 video:-1 </endperson481>
7,81:475,4,2, </endperson482>
7,116:475,4,3,character:+1 character:-1 storyline:-1 </endperson483>
7,244:475,4,3,scenes:+1 character:-1 </endperson484>
7,377:475,3,1,acting:-1 </endperson485>
7,573:475,3,3,acting:+1 isnt:-1 </endperson486>
7,577:475,4,2, </endperson487>
7,579:475,5,1, </endperson488>
394,344:1752,4,5,movies:+1 </endperson489>
0,129:299,3,5, </endperson490>
0,587:299,3,4,plot:+1 comedy:+1 performances:+1 </endperson491>
384,157:1040,4,5,choreography:+1 comedy:+1 watch:-1 </endperson492>
661,512:1962,4,5, </endperson493>
360,136:191,5,5,movie:+1 watch:+1 </endperson494>
242,124:722,4,3,watch:-1 tanything:-1 </endperson495>
3,252:688,3,5, </endperson496>
3,266:688,4,2,script:-1 </endperson497>
3,322:688,4,3, </endperson498>
